Type	IRI	Status	Label
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000087		has role
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000085		has function
Class	http://purl.obolibrary.org/obo/IAO_0000033	ready for release	directive information entity
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000081		role of
Class	http://purl.obolibrary.org/obo/OBI_0200000	ready for release	data transformation
Class	http://purl.obolibrary.org/obo/IAO_0000030	ready for release	information content entity
Class	http://purl.obolibrary.org/obo/OBI_0001928	ready for release	selection
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000412	pending final vetting	imported from
Class	http://purl.obolibrary.org/obo/OBI_0000047	ready for release	processed material
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000122		ready for release
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000002		example to be eventually removed
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000123		metadata incomplete
Class	http://purl.obolibrary.org/obo/IAO_0000027	pending final vetting	data item
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000124		uncurated
Class	http://purl.obolibrary.org/obo/IAO_0000028	pending final vetting	symbol
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000125		pending final vetting
Class	http://purl.obolibrary.org/obo/OBI_0000968	ready for release	device
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000120		metadata complete
Class	http://purl.obolibrary.org/obo/OBI_0100026	ready for release	organism
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000121		organizational term
Class	http://purl.obolibrary.org/obo/OBI_0001933	ready for release	value specification
Class	http://purl.obolibrary.org/obo/GAZ_00000448		geographic location
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000079		function of
Class	http://purl.obolibrary.org/obo/OBI_0600013	ready for release	information acquisition
Class	http://purl.obolibrary.org/obo/OBI_0600010	ready for release	material acquisition
Class	http://purl.obolibrary.org/obo/NCBITaxon_2		Bacteria
Class	http://purl.obolibrary.org/obo/NCBITaxon_2157		Archaea
Class	http://purl.obolibrary.org/obo/BFO_0000003		occurrent
Class	http://purl.obolibrary.org/obo/OBI_0000456	ready for release	material transformation objective
Class	http://purl.obolibrary.org/obo/BFO_0000004		independent continuant
Class	http://purl.obolibrary.org/obo/OBI_0000453	ready for release	measure function
Class	http://purl.obolibrary.org/obo/OBI_0002076	pending final vetting	collection of specimens
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000124	ready for release	is_supported_by_data
Class	http://purl.obolibrary.org/obo/OBI_0000339	ready for release	planning
Class	http://purl.obolibrary.org/obo/OBI_0000338	ready for release	drawing a conclusion based on data
Class	http://purl.obolibrary.org/obo/OBI_0100051	ready for release	specimen
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000118	pending final vetting	alternative term
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000117	ready for release	term editor
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000119	ready for release	definition source
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000114		has curation status
NamedIndividual	http://purl.obolibrary.org/obo/obi/2017-02-22/obi.owl		OBI Release 2017-02-22
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000116	ready for release	editor note
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000115	ready for release	definition
AnnotationProperty	http://purl.obolibrary.org/obo/BFO_0000180		BFO CLIF specification label
Class	http://purl.obolibrary.org/obo/CL_0000578		experimentally modified cell in vitro
Class	http://purl.obolibrary.org/obo/IAO_0000409		denotator type
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000112	ready for release	example of usage
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000111	ready for release	editor preferred label
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000232	ready for release	curator note
Class	http://purl.obolibrary.org/obo/BFO_0000001		entity
Class	http://purl.obolibrary.org/obo/BFO_0000002		continuant
Class	http://purl.obolibrary.org/obo/OBI_0000471	ready for release	study design execution
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000050		part of
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000051		has part
Class	http://purl.obolibrary.org/obo/OBI_0000112	ready for release	specimen role
Class	http://purl.obolibrary.org/obo/BFO_0000029		site
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000054		realized in
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000055		realizes
Class	http://purl.obolibrary.org/obo/BFO_0000031		generically dependent continuant
Class	http://purl.obolibrary.org/obo/BFO_0000034		function
Class	http://purl.obolibrary.org/obo/IAO_0000078	pending final vetting	curation status specification
Class	http://purl.obolibrary.org/obo/OBI_0600004	ready for release	human subject enrollment
Class	http://purl.obolibrary.org/obo/BFO_0000016		disposition
Class	http://purl.obolibrary.org/obo/BFO_0000017		realizable entity
Class	http://purl.obolibrary.org/obo/BFO_0000015		process
Class	http://purl.obolibrary.org/obo/OBI_0000245	ready for release	organization
Class	http://purl.obolibrary.org/obo/OBI_0600008	ready for release	acquisition
Class	http://purl.obolibrary.org/obo/BFO_0000019		quality
Class	http://purl.obolibrary.org/obo/CL_0000000		cell
Class	http://purl.obolibrary.org/obo/BFO_0000020		specifically dependent continuant
Class	http://purl.obolibrary.org/obo/BFO_0000141		immaterial entity
Class	http://purl.obolibrary.org/obo/BFO_0000023		role
Class	http://purl.obolibrary.org/obo/NCBITaxon_32524		Amniota
AnnotationProperty	http://purl.obolibrary.org/obo/OBI_0001847	ready for release	ISA alternative term
Class	http://purl.obolibrary.org/obo/CL_0000001		primary cultured cell
Class	http://purl.obolibrary.org/obo/NCBITaxon_32523		Tetrapoda
Class	http://purl.obolibrary.org/obo/IAO_0000064	metadata complete	algorithm
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000833	ready for release	objective_achieved_by
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000602		has associated axiom(fol)
Class	http://purl.obolibrary.org/obo/OBI_0000097	ready for release	participant under investigation role
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000601		has associated axiom(nl)
Class	http://purl.obolibrary.org/obo/OBI_0000094	ready for release	material processing
AnnotationProperty	http://purl.obolibrary.org/obo/RO_0001900		temporal interpretation
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000600		elucidation
Class	http://purl.obolibrary.org/obo/OBI_0001866	metadata complete	secondary cultured cell
Class	http://purl.obolibrary.org/obo/IAO_0000579	metadata complete	centrally registered identifier registry
Class	http://purl.obolibrary.org/obo/NCBITaxon_2759		Eukaryota
Class	http://purl.obolibrary.org/obo/CL_0000010		cultured cell
Class	http://purl.obolibrary.org/obo/ENVO_00010483		environmental material
Class	http://purl.obolibrary.org/obo/IAO_0000577	metadata complete	centrally registered identifier symbol
Class	http://purl.obolibrary.org/obo/IAO_0000578	metadata complete	centrally registered identifier
Class	http://purl.obolibrary.org/obo/IAO_0000572	pending final vetting	documenting
Class	http://purl.obolibrary.org/obo/OBI_0000659	ready for release	specimen collection process
Class	http://purl.obolibrary.org/obo/OBI_0001755	ready for release	selection criterion
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000428		requires discussion
Class	http://purl.obolibrary.org/obo/OBI_0000785	ready for release	study design controlled variable
Class	http://purl.obolibrary.org/obo/NCBITaxon_40674		Mammalia
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000423		to be replaced with external ontology term
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000420		defined class
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000421		named class expression
Class	http://purl.obolibrary.org/obo/OBI_0001879	metadata complete	reagent
Class	http://purl.obolibrary.org/obo/NCBITaxon_33154		Opisthokonta
AnnotationProperty	http://purl.obolibrary.org/obo/OBI_9991118	ready for release	IEDB alternative term
Class	http://purl.obolibrary.org/obo/NCBITaxon_7742		Vertebrata <Metazoa>
AnnotationProperty	http://purl.obolibrary.org/obo/BFO_0000179		BFO OWL specification label
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000410		universal
Class	http://purl.obolibrary.org/obo/IAO_0000310	metadata complete	document
Class	http://purl.obolibrary.org/obo/OBI_0000437	ready for release	analyte measurement objective
Class	http://www.geneontology.org/formats/oboInOwl#Subset		
Class	http://purl.obolibrary.org/obo/OGMS_0000031		disease
ObjectProperty	http://purl.obolibrary.org/obo/IAO_0000219		denotes
Class	http://purl.obolibrary.org/obo/OBI_0000202	ready for release	investigation agent role
Class	http://purl.obolibrary.org/obo/OBI_0000443	ready for release	analyte assay
Class	http://purl.obolibrary.org/obo/OBI_0000684	ready for release	specimen collection objective
Class	http://purl.obolibrary.org/obo/OBI_0000441	ready for release	assay objective
