Ontology ID	label	editor preferred term	has curation status	alternative label	IEDB alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	material processing technique	detection technique	reagent	input	output	MHC source	target entity	target context	unit
OBI:0001217	assay measuring epitope specific interleukin-22 production by T cells				IL-22 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-22 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('interleukin-22 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001218	assay measuring epitope specific interleukin-8 production by T cells				IL-8 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-8 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('interleukin-8 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001220	cell culture analyte detection bioassay measuring epitope specific interleukin-10 production by T cells				IL-10 release|bioassay	A reporter cell line analyte detection bioassay that detects interleukin-10 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	reporter cell line analyte detection bioassay							('interleukin-10 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001222	ELISA measuring epitope specific RANTES production by T cells				CCL5/RANTES release|ELISA	An enzyme-linked immunosorbent assay that detects RANTES production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('chemokine (C-C motif) ligand 5 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001223	cytometric bead array assay measuring epitope specific interleukin-1 beta production by T cells				IL-1b release|cytometric bead array	A cytometric bead array assay that detects interleukin-1 beta production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	antigen detection by cytometric bead array assay							('interleukin-1 beta production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001227	ELISPOT assay measuring epitope specific interleukin-6 production by T cells				IL-6 release|ELISPOT	An enzyme-linked immunospot assay that detects interleukin-6 production by T cells	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunospot assay							('interleukin-6 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001228	in vivo assay measuring epitope specific helper T cell enhancement of a B cell mediated immune response				antibody help|in vivo assay	A T cell epitope specific helper activity assay that detects the ability of a T cell epitope to enhance an antibody response.	IEDB		IEDB					equivalent	assay							('helper T cell enhancement of B cell mediated immune response' and ('process is result of' some 'MHC:epitope complex binding to TCR'))	(Metazoa and ('has quality' some alive))	
OBI:0001229	plasmon resonance assay measuring the dissociation constant [KD] of a T cell epitope:MHC:TCR complex				dissociation constant KD|surface plasmon resonance (SPR)|nM	A surface plasmon resonance binding assay that measures the dissociation constant [KD] of an epitope:MHC complex binding with a T cell receptor.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	surface plasmon resonance binding assay					equilibrium dissociation constant (KD)		MHC:epitope complex binding to TCR		nanomolar
OBI:0001230	assay measuring epitope specific interleukin-5 production by T cells				IL-5 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-5 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('interleukin-5 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001231	ELISA measuring epitope specific transforming growth factor-beta production by T cells				TGFb release|ELISA	An enzyme-linked immunosorbent assay that detects transforming growth factor-beta production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							 ('transforming growth factor beta production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001232	assay measuring epitope specific RANTES production by T cells				CCL5/RANTES release|biological activity	A T cell epitope specific cytokine production assay that detects RANTES production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('chemokine (C-C motif) ligand 5 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001233	assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells				GM-CSF release|biological activity	A T cell epitope specific cytokine production assay that detects granulocyte macrophage colony stimulating factor production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('granulocyte macrophage colony-stimulating factor production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001236	ELISA measuring epitope specific interleukin-22 production by T cells				IL-22 release|ELISA	An enzyme-linked immunosorbent assay that detects interleukin-22 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('interleukin-22 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001237	assay measuring epitope specific interleukin-21 production by T cells				IL-21 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-21 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('interleukin-21 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001238	ELISA measuring epitope specific interleukin-9 production by T cells				IL-9 release|ELISA	An enzyme-linked immunosorbent assay that detects interleukin-9 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('interleukin-9 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001240	intracellular cytokine staining assay measuring epitope specific interleukin-6 production by T cells				IL-6 release|ICS	A flow cytometry assay that detects interleukin-6 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	flow cytometry assay							('interleukin-6 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001241	cell culture analyte detection bioassay measuring epitope specific interleukin-4 production by T cells				IL-4 release|bioassay	A reporter cell line analyte detection bioassay that detects interleukin-4 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	reporter cell line analyte detection bioassay							('interleukin-4 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001242	detection of specific nucleic acids with complementary probes assay measuring epitope specific tumor necrosis factor alpha production by T cells				TNFa release|RNA/DNA detection	A detection of specific nucleic acid polymers with complementary probes that detects tumor necrosis factor alpha production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	detection of specific nucleic acid polymers with complementary probes							('tumor necrosis factor production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001243	cytometric bead array assay measuring epitope specific monocyte chemotactic protein-1 production by T cells				CCL2/MCP-1 release|cytometric bead array	A cytometric bead array assay that detects monocyte chemotactic protein-1 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	antigen detection by cytometric bead array assay							('monocyte chemotactic protein-1 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001244	ELISA measuring epitope specific interleukin-23 production by T cells				IL-23 release|ELISA	An enzyme-linked immunosorbent assay that detects interleukin-23 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('interleukin-23 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001245	detection of specific nucleic acids with complementary probes assay measuring epitope specific perforin release				perforin release|RNA/DNA detection	A detection of specific nucleic acids with complementary probes assay that detects epitope specific perforin release by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	detection of specific nucleic acid polymers with complementary probes							('perforin release during T cell degranulation' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001246	ELISA measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells				TNF release|ELISA	An enzyme-linked immunosorbent assay that detects tumor necrosis factor superfamily cytokine production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('tumor necrosis factor superfamily cytokine production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001251	assay measuring epitope specific interleukin-13 production by T cells				IL-13 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-13 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('interleukin-13 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001253	assay measuring interleukin-9 production by T cells				IL-9 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-9 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('interleukin-9 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001255	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-5 production by T cells				IL-5 release|RNA/DNA detection	A detection of specific nucleic acid polymers with complementary probes that detects interleukin-5 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	detection of specific nucleic acid polymers with complementary probes							('interleukin-5 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001260	ELISA measuring epitope specific interleukin-3 production by T cells				IL-3 release|ELISA	An enzyme-linked immunosorbent assay that detects interleukin-3 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('interleukin-3 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001261	ELISA measuring epitope specific interleukin-1 alpha production by T cells				IL-1a release|ELISA	An enzyme-linked immunosorbent assay that detects interleukin-1 alpha production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('interleukin-1 alpha production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001263	in vivo assay measuring epitope specific helper T cell enhancement of a T cell mediated immune response				T cell help|in vivo assay	A T cell epitope specific helper activity assay that detects the ability of a T cell epitope to enhance a T cell response.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('helper T cell enhancement of T cell mediated immune response' and ('process is result of' some 'MHC:epitope complex binding to TCR'))	(Metazoa and ('has quality' some alive))	
OBI:0001264	assay measuring epitope specific transforming growth factor-beta production by T cells				TGFb release|biological activity	A T cell epitope specific cytokine production assay that detects transforming growth factor-beta production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							 ('transforming growth factor beta production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001268	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-12 production by T cells				IL-12 release|RNA/DNA detection	A detection of specific nucleic acid polymers with complementary probes that detects interleukin-12 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	detection of specific nucleic acid polymers with complementary probes							('interleukin-12 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001269	assay measuring epitope specific cytotoxic T cell degranulation				degranulation|biological activity	A T cell epitope dependent biological activity assay that detects cytotoxic T cell degranulation.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							(('part of' some 'cytotoxic T cell degranulation') and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001270	cell culture analyte detection bioassay measuring epitope specific transforming growth factor-beta production by T cells				TGFb release|bioassay	A reporter cell line analyte detection bioassay that detects transforming growth factor-beta production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	reporter cell line analyte detection bioassay							 ('transforming growth factor beta production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001272	ELISPOT assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells				TNF release|ELISPOT	An enzyme-linked immunospot assay that detects tumor necrosis factor superfamily cytokine production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunospot assay							('tumor necrosis factor superfamily cytokine production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001273	cell culture analyte detection bioassay measuring epitope specific interleukin-5 production by T cells				IL-5 release|bioassay	A reporter cell line analyte detection bioassay that detects interleukin-5 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	reporter cell line analyte detection bioassay							('interleukin-5 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001276	assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells				CCL1/TCA-3 release|biological activity	A T cell epitope specific cytokine production assay that detects production of chemokine (C-C motif) ligand 1 by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('chemokine (C-C motif) ligand 1 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001277	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-2 production by T cells				IL-2 release|RNA/DNA detection	A detection of specific nucleic acid polymers with complementary probes that detects interleukin-2 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	detection of specific nucleic acid polymers with complementary probes							('interleukin-2 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001279	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-22 production by T cells				IL-22 release|RNA/DNA detection	A detection of specific nucleic acid polymers with complementary probes that detects interleukin-22 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	detection of specific nucleic acid polymers with complementary probes							('interleukin-22 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001280	assay measuring epitope specific interleukin-16 production by T cells				IL-16 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-16 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('interleukin-16 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001281	ELISA measuring epitope specific IP-10 production by T cells				CXCL10/IP-10 release|ELISA	An enzyme-linked immunosorbent assay that detects IP-10 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('IP-10 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001283	ELISA measuring epitope specific interleukin-15 production by T cells				IL-15 release|ELISA	An enzyme-linked immunosorbent assay that detects interleukin-15 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('interleukin-15 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001284	cytometric bead array assay measuring epitope specific interleukin-12 production by T cells				IL-12 release|cytometric bead array	A cytometric bead array assay that detects interleukin-12 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	antigen detection by cytometric bead array assay							('interleukin-12 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001288	ELISA measuring epitope specific lymphotoxin A production by T cells				lymphotoxin A/TNFb release|ELISA	An enzyme-linked immunosorbent assay that detects lymphotoxin A production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('lymphotoxin A production ' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001289	cytometric bead array assay measuring epitope specific interleukin-5 production by T cells				IL-5 release|cytometric bead array	A cytometric bead array assay that detects interleukin-5 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	antigen detection by cytometric bead array assay							('interleukin-5 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001291	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-17 production by T cells				IL-17 release|RNA/DNA detection	A detection of specific nucleic acid polymers with complementary probes that detects interleukin-17 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	detection of specific nucleic acid polymers with complementary probes							('interleukin-17 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001292	assay measuring epitope specific interleukin-15 production by T cells				IL-15 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-15 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('interleukin-15 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001295	assay measuring epitope specific interleukin-17 production by T cells				IL-17 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-17 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('interleukin-17 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001296	cytometric bead array assay measuring epitope specific interleukin-17 production by T cells				IL-17 release|cytometric bead array	A cytometric bead array assay that detects interleukin-17 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	antigen detection by cytometric bead array assay							('interleukin-17 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001297	cytometric bead array assay measuring epitope specific interleukin-10 production by T cells				IL-10 release|cytometric bead array	A cytometric bead array assay that detects interleukin-10 production by T cells.	IEDB		IEDB					equivalent	antigen detection by cytometric bead array assay							('interleukin-10 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001298	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-21 production by T cells				IL-21 release|RNA/DNA detection	A detection of specific nucleic acid polymers with complementary probes that detects interleukin-21 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	detection of specific nucleic acid polymers with complementary probes							('interleukin-21 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001299	intracellular cytokine staining assay measuring epitope specific interleukin-5 production by T cells				IL-5 release|ICS	A flow cytometry assay that detects interleukin-5 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	flow cytometry assay							('interleukin-5 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001300	cytometric bead array assay measuring epitope specific interleukin-2 production by T cells				IL-2 release|cytometric bead array	A cytometric bead array assay that detects interleukin-2 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	antigen detection by cytometric bead array assay							('interleukin-2 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001301	cell culture analyte detection bioassay measuring epitope specific interleukin-16 production by T cells				IL-16 release|bioassay	A reporter cell line analyte detection bioassay that detects interleukin-16 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	reporter cell line analyte detection bioassay							('interleukin-16 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001302	ELISA measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells				CCL3/MIP-1a release|ELISA	An enzyme-linked immunosorbent assay that detects macrophage inflammatory protein-1 alpha production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('macrophage inflammatory protein-1 alpha production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001303	intracellular cytokine staining assay measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells				GM-CSF release|ICS	A flow cytometry assay that detects granulocyte macrophage colony stimulating factor production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	flow cytometry assay							('granulocyte macrophage colony-stimulating factor production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001308	assay measuring epitope specific IP-10 production by T cells				CXCL10/IP-10 release|biological activity	A T cell epitope specific cytokine production assay that detects IP-10 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('IP-10 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001309	intracellular cytokine staining assay measuring epitope specific interleukin-13 production by T cells				IL-13 release|ICS	A flow cytometry assay that detects interleukin-13 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	flow cytometry assay							('interleukin-13 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001311	X-ray crystallography assay determining the 3D structure of a T cell epitope:MHC:TCR complex				3D structure|x-ray crystallography|angstroms	A X-ray crystallography 3D molecular structure determination assay that characterizes the 3-dimensional molecular structure of a T cell epitope:MHC:TCR complex.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	X-ray crystallography 3D molecular structure determination assay					3D structural organization datum		epitope:MHC:TCR complex		angstrom
OBI:0001315	ELISA measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells				CCL1/TCA-3 release|ELISA	An enzyme-linked immunosorbent assay that detects chemokine (C-C motif) ligand 1 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunosorbent assay							('chemokine (C-C motif) ligand 1 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001317	flow cytometry assay measuring cell-cell binding of a T cell epitope:MHC:TCR complex				T cell- APC binding|binding assay	A flow cytometry assay that measures the cell-cell binding of an epitope:MHC complex binding with a T cell receptor.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	flow cytometry assay					categorical binding datum		MHC:epitope complex binding to TCR		
OBI:0001319	cell culture analyte detection bioassay measuring epitope specific interferon-gamma production by T cells				IFNg release|bioassay	A reporter cell line analyte detection bioassay that detects interferon-gamma production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	reporter cell line analyte detection bioassay							('type II interferon production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001322	ELISPOT assay measuring epitope specific granzyme B release by T cells				granzyme B release|ELISPOT	An enzyme-linked immunospot assay that detects  epitope specific granzyme B release by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunospot assay							('granzyme B release during T cell degranulation' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001324	in vivo assay measuring T cell epitope specific tolerance induction				tolerance|in vivo assay	An efficacy of T cell epitope intervention experiment that uses a tolerance induction intervention experiment.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	epitope tolerance induction experiment							('T cell tolerance induction' and ('process is result of' some 'MHC:epitope complex binding to TCR'))	(Metazoa and ('has quality' some alive))	
OBI:0001325	detection of specific nucleic acids with complementary probes assay measuring epitope specific RANTES production by T cells				CCL5/RANTES release|RNA/DNA detection	A detection of specific nucleic acid polymers with complementary probes that detects RANTES production by T cells.	IEDB		IEDB					equivalent	detection of specific nucleic acid polymers with complementary probes							('chemokine (C-C motif) ligand 5 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001326	cytometric bead array assay measuring epitope specific interleukin-4 production by T cells				IL-4 release|cytometric bead array	A cytometric bead array assay that detects interleukin-4 production by T cells	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	antigen detection by cytometric bead array assay							('interleukin-4 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
