ontology ID	label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	logical note	parent class	detection technique	evaluant	device	input	output	anatomical site	assessed biological trait
OBI:0003524	tandem stance assessment				A limits of stability assessment designed to assess an individual's ability to maintain a stable stance with feet in tandem placement.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003525	stance on one foot assessment				A limits of stability assessment designed to assess an individual's ability to maintain a stable stance on one foot.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003526	tandem walk assessment				A limits of stability assessment designed to assess an individual's ability to maintain balance while walking in a straight line placing steps in tandem.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003527	gait assessment				A limits of stability assessment designed to assess an individual's manner or pattern of walking.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003528	bulbar assessment				A functional assessment of an individual's lower cranial nerve function via proxy of facial muscle performance.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual							facial muscle performance
OBI:0003529	spontaneous speech assessment				A functional assessment of an individual's ability to articulate spoken words.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual							facial muscle performance
OBI:0003530	limb coordination assessment				A functional assessment of an individual's ability to coordinate limb movement.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual							limb coordination efficacy
OBI:0003531	upper limb coordination assessment				A limb coordination assessment designed to assess an individual's ability to coordinate upper limb movement.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limb coordination assessment							upper limb coordination efficacy
OBI:0003532	lower limb coordination assessment				A limb coordination assessment designed to assess an individual's ability to coordinate lower limb movement.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limb coordination assessment							lower limb coordination efficacy
OBI:0003533	nervous system functionality assessment				A functional assesment of an individual's nerve performance. Specifically the nerves connecting the sensory and motor structures with the central nervous system.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual							peripheral nervous system function
OBI:0003534	upright stability assessment				A functional assessment of an individual's ability to maintain upright body posture.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual							whole organism stability
OBI:0003535	deep tendon reflex assessment of the knee joint				A deep tendon reflex assessment of an individual's reaction to stimulus applied to a knee joint.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		deep tendon reflex assessment						knee joint	knee joint functionality
OBI:0003536	observational assessment of individual				A physical examination of an organism through visual assesment.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		physical examination of an organism							
OBI:0003537	deep tendon reflex assessment of the ankle joint				A deep tendon reflex assessment of an individual's reaction to stimulus applied to an ankle joint.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		deep tendon reflex assessment						ankle joint	ankle joint functionality
OBI:0003538	deep tendon reflex assessment of the tendon of biceps brachii				A deep tendon reflex assessment of an individual's reaction to stimulus applied to a tendon of biceps brachii.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		deep tendon reflex assessment						tendon of biceps brachii	tendon of biceps brachii functionality
OBI:0003539	deep tendon reflex assessment of the brachioradialis				A deep tendon reflex assessment of an individual's reaction to stimulus applied to a brachioradialis.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		deep tendon reflex assessment						brachioradialis	brachioradialis functionality
