ontology ID	label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	objective	independent variable	dependent variable	assay	associated superclasses	associated equivalent classes
OBI:0001278	DNA methylation profiling by array design	DNA methylation profiling by array design	metadata complete		A study design in which the methylation state of DNA is determined and is compared between samples using array technology.	GROUP: ArrayExpress production team		Person: Chris Stoeckert, Jie Zheng					subclass	study design	epigenetic modification identification objective					
OBI:0001285	in vitro design	in vitro design	metadata complete		A study design that is done in a test tube or a culture dish, e.g. A bacterial invasion assay in an established cell culture.	MO_347 in_vitro_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design						
OBI:0001286	RNAi profiling by array design	RNAi profiling by array design	metadata complete		A study design in which experiment double stranded RNA is synthesized with a sequence complementary to a gene(s) of interest and introduced into a cell or organism, where it is recognized as exogenous genetic material and activates the RNAi pathway resulting in knockdown of the transcripts and providing a means to study downstream changes in gene expression.	Group: ArrayExpress production team		Person: Chris Stoeckert, Jie Zheng					subclass	study design	molecular feature identification objective					
OBI:0001290	transcription profiling by array design	transcription profiling by array design	metadata complete		A study design that identifies forms and abundance of transcripts in the genome using microarray technology.	MO_533 transcript_identification_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	transcription profiling identification objective					
OBI:0001293	disease state design	disease state design	metadata complete		A study design in which the pathological condition of a part, organ, or system of an organism is studied. The etiology may be from infection, genetic defect, or environmental stress.	MO_902 disease_state_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	organism feature identification objective	disease				
OBI:0001306	RNA stability design	RNA stability design	metadata complete		A study design that examines the stability and/or decay of RNA transcripts.	MO_553 RNA_stability_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	('molecular feature identification objective' and ('is about' some 'ribonucleic acid'))					
OBI:0001310	species comparison design	species comparison design	metadata complete		A study design that assays differences between distinct species.	MO_675 species_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	organism feature identification objective	organism				
OBI:0001313	transcription profiling by RT-PCR design	transcription profiling by RT-PCR design	metadata complete		A study design which aims to examine the transcriptome of a biological sample by reverse transcription PCR (RT-PCR).	Group: ArrayExpress production team		Person: Chris Stoeckert, Jie Zheng					subclass	study design	transcription profiling identification objective					
OBI:0001323	microRNA profiling by array design	microRNA profiling by array design	metadata complete		A study design in which a microRNA array is used to analyse the microRNA component of the transcriptome.	Group: ArrayExpress production team		Person: Chris Stoeckert, Jie Zheng					subclass	study design	transcription profiling identification objective					
OBI:0001328	organism development design	organism development design	metadata complete		A study design that assays events associated with development. Development applies to organism(s) acquiring a mature state.	MO_892 development_or_differentiation_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	('organism feature identification objective' and ('is about' some ('life cycle stage' and ('has participant' some organism))))					
OBI:0001329	family history design	family history design	metadata complete		A study design in which the family history such as traits, characteristics, susceptibility to disease is studied.	MO_544 family_history_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	organism feature identification objective					
OBI:0001336	quality control testing design	quality control testing design	metadata complete		A study design in which some aspects of the experiment is quality controlled for the purposes of quality assurance.	MO_981 quality_control_testing_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design						
OBI:0001337	clinical history design	clinical history design	metadata complete		A study design that the organism's clinical history of diagnosis, treatments, e.g. vaccinations, surgery etc. is studied.	MO_832 clinical_history_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	('organism feature identification objective' and ('is about' some 'clinical history'))					
OBI:0001358	post-transcriptional modification design	post-transcriptional modification design	metadata complete		A study design in which a modification of the transcriptome, proteome (not genome) is made, for example RNAi, antibody targeting.	MO_392 cellular_modification_design		Person: Chris Stoeckert, Jie Zheng	post transcription modification design? or more clear RNAi design / antibody targeting design? need to check the use cases				subclass	intervention design	biological feature identification objective	study intervention				
OBI:0001365	cellular process design	cellular process design	metadata complete		A study design that aims to study the processes that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level.	MO_810 cellular_process_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	('cellular feature identification objective' and ('is about' some 'cellular process'))					
OBI:0001374	injury design	injury design	metadata complete		A study design in which the response of an organism(s) to injury or damage is studied.	MO_726 injury_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	organism feature identification objective					
OBI:0001377	organism status comparison design	organism status comparison design	metadata complete		A study design that compares samples from live and dead organisms.	MO_841 organism_status_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	biological feature identification objective				('is concretized as' some ('realized in' some (assay and ('has specified input' some ('pre-mortem specimen' or 'post mortem specimen')))))	
OBI:0001387	genotyping by array design	genotyping by array design	metadata complete		A study design that classifies an individual or group of individuals on the basis of alleles, haplotypes, SNPs using microarray technology.	MO_560 genotyping_design		Person: Chris Stoeckert, Jie Zheng					subclass	genotyping design						
OBI:0001396	stimulus or stress design	stimulus or stress design	metadata complete		A study design in which the response of an organism(s) to the stress or stimulus is studied, e.g. osmotic stress, heat shock, radiation exposure, behavioral treatment etc.	MO_568 stimulus_or_stress_design		Person: Chris Stoeckert, Jie Zheng					subclass	intervention design	('organism feature identification objective' and ('is about' some 'response to stimulus'))	study intervention				
OBI:0001401	protocol optimization design	protocol optimization design	metadata complete		A study design where different protocols or protocol parameters are compared aims to find an optimized protocol	MO_934 optimization_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	protocol optimization objective					
OBI:0001403	ChIP-chip design	ChIP-chip design	metadata complete	ChIP-on-chip design	A study design which aims to identify protein binding sites in genomic DNA by a combination of chromatin immunoprecipitation and DNA microarray (chip) assays.	MO_933 binding_site_identification_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	protein and DNA interaction identification objective	immunoglobulin complex, circulating				
OBI:0001408	imprinting design	imprinting design	metadata complete		A study design where differences in genetic imprinting of maternally- and paternally-inherited chromosomes (e.g., due to in vivo differences in chemical modification and/or chromatin structure) are compared.	MO_914 imprinting_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	molecular feature identification objective					
OBI:0001409	cell cycle design	cell cycle design	metadata complete		A study design that assays events that occur in relation to the cell cycle, which is the period between the formation of a cell, by division of its mother cell and the time when the cell itself divides to form two daughter cells.	MO_822 cell_cycle_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	('cellular feature identification objective' and ('is about' some 'cell cycle'))					
OBI:0001410	translation profiling design	translation profiling design	metadata complete		A study design in which surface-bound, translationally competent ribosome complexes are used to generate a translation profile for mRNA, where mRNA may be a single molecular species, or a combination of species, including complex mixtures such as those found in the set of mRNAs isolated from a cell or tissue. One or more components of the surface-bound ribosome complex may be labeled at specific positions to permit analysis of multiple or single molecules for determination of ribosomal conformational changes and translation kinetics. Translation profiles are used as the basis for comparison of an mRNA or set of mRNA species. The translation profile can be used to determine such characteristics as kinetics of initiation, kinetic of elongation, identity of the polypeptide product, and the like. Analysis of translation profiles may be used to determine differential gene expression, optimization of mRNA sequences for expression, screening drug candidates for an effect on translation.	Group: ArrayExpress production team		Person: Chris Stoeckert, Jie Zheng					subclass	study design	molecular feature identification objective					
OBI:0001411	cell type comparison design	cell type comparison design	metadata complete		A study design that compares cells of different type, for example different cell lines.	MO_764 cell_type_comparison_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	cellular feature identification objective	cell				
OBI:0001417	ChIP-chip by tiling array design	ChIP-chip by tiling array design	metadata complete		A study design which aims to identify protein binding sites in genomic DNA by a combination of chromatin immunoprecipitation and tiling microarray (chip) assays.	Group: ArrayExpress production team		Person: Chris Stoeckert, Jie Zheng					subclass	ChIP-chip design						
OBI:0001418	dose response design	dose response design	metadata complete		A study design that examines the relationship between the size of the administered dose and the extent of the response.	MO_485 dose_response_design		Person: Chris Stoeckert, Jie Zheng					subclass	compound treatment design	biological feature identification objective	('study intervention' and 'administration of material to specimen')|('dose specification' and ('is about' some 'administration of material to specimen'))				
OBI:0001422	organism part comparison design	organism part comparison design	metadata complete		A study design that compares tissues, regions, organs within or between organisms	MO_953 organism_part_comparison_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	organism feature identification objective	material anatomical entity				
OBI:0001425	protein binding site identification design	protein binding site identification design	metadata complete		A study design that investigates protein binding sites on nucleic acids.	MO_933 binding_site_identification_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design						('has part' some 'protein and DNA interaction identification objective')
OBI:0001426	sex comparison design	sex comparison design	metadata complete		A study design that assays differences associated with an organism's sex, gender or mating type.	MO_575 sex_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	organism feature identification objective	biological sex				
OBI:0001427	transcription profiling by tiling array design	transcription profiling by tiling array design	metadata complete		A study design in which gene expression on a genome-wide basis is evaluated, without bias toward coding or noncoding regions, using tiling arrays containing oligonucleotides that are either overlapping or spaced at regular intervals.	MO_507 tiling_path_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	transcription profiling identification objective					
OBI:0001429	cell differentiation design	cell differentiation design	metadata complete		A study design that assays events associated with cell development or differentiation.	MO_892 development_or_differentiation_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	('cellular feature identification objective' and ('is about' some 'cellular developmental process'))					
OBI:0001430	transcription profiling design	transcription profiling design	metadata complete		A study design that identifies forms and abundance of transcripts in the genome.	MO_533 transcript_identification_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design						
OBI:0001432	operon identification design	operon identification design	metadata complete		A study design that identifies locations and members of operons in a genome.	MO_772 operon_identification_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	sequence feature identification objective					
OBI:0001435	DNA methylation profiling by high throughput sequencing design	DNA methylation profiling by high throughput sequencing design	metadata complete		A study design in which the methylation state of DNA is determined and is compared between samples using high throughput sequencing technology.	GROUP: ArrayExpress production team		Person: Chris Stoeckert, Jie Zheng					subclass	study design	epigenetic modification identification objective					
OBI:0001440	all pairs design	all pairs design	metadata complete		A study design in which all specimens are compared to every other specimen.	MO_565 all_pairs		Person: Chris Stoeckert, Jie Zheng					subclass	study design						
OBI:0001441	proteomic profiling by array design		metadata complete		A study design in which proteins in a sample are detected, quantified or otherwise analysed, through an array-based technology.	Group: ArrayExpress production team		Person: Chris Stoeckert, Jie Zheng, Dan Berrios				https://github.com/obi-ontology/obi/issues/854	subclass	study design	molecular feature identification objective					
OBI:0001444	genotyping design	genotyping design	metadata complete		A study design that classifies an individual or group of individuals on the basis of alleles, haplotypes, SNPs.	MO_560 genotyping_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	sequence feature identification objective					
OBI:0001448	individual genetic characteristics comparison design	individual genetic characteristics comparison design	metadata complete		A study design where genotype, haplotype, or other individual genetic characteristics are compared.	MO_527 individual_genetic_characteristics_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	biological feature identification objective	genetic characteristics information				
OBI:0001454	pathogenicity design	pathogenicity design	metadata complete		A study design in which an infective agent such as a bacterium, virus, protozoan, fungus etc. infects a host organism(s) and the infective agent is assayed.	MO_807 pathogenicity_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	biological feature identification objective					
OBI:0001460	genetic modification design	genetic modification design	metadata complete		A study design in which an organism(s) is studied that has had genetic material removed, rearranged, mutagenized or added, such as in a knock out.	MO_447 genetic_modification_design		Person: Chris Stoeckert, Jie Zheng					subclass	intervention design	biological feature identification objective	('study intervention' and 'genetic transformation')				
OBI:0001464	strain comparison design	strain comparison design	metadata complete		A study design that assays differences between multiple strains, cultivars, serovars, isolates, lines from organisms of a single species.	MO_462 strain_or_line_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	organism feature identification objective	selectively maintained organism				
OBI:0001957	hardware testing design		metadata complete		A study design that aims to compare different types of hardware for performance, reproducibility, accuracy and precision.	MO_734 hardware_variation_design		Person: Jie Zheng					equivalent	study design	hardware testing objective				('has part' some ('study design independent variable' and ('is about' some device)))	
OBI:0001958	systematic review study design	systematic review study design	metadata complete		A study design for identifying in the literature prior studies of a pre-determined phenomenon or set of related phenomena according to certain criteria, extracting findings from these studies, and summarizing these findings and/or attempting to draw new conclusions from them which were not justified by any of the individual, prior studies. Many systematic reviews also assess the quality of the studies so reviewed.		The effect of moderate gestational alcohol consumption during pregnancy on speech and language outcomes in children: a systematic review. http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3892059/|Red blood cell transfusion in patients with traumatic brain injury: a systematic review protocol. http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4090399/	PERSON: Bill Hogan					subclass	study design						
OBI:0001965	decision analysis study design	decision analysis study design	metadata complete		a study design that has a decision analysis objective specification as part	PERSON: Bill Hogan		PERSON: Bill Hogan					equivalent	study design	decision-theoretic analysis objective					
OBI:0002446	proteomic profiling design				A study design in which proteins in a sample are detected, quantified or otherwise analysed.	OBI:0001441		Dan Berrios					subclass	study design						
OBI:0002590	molecular interaction identification design				A study design that investigates the features of interaction between molecules.	person:RCT		Rebecca Jackson					subclass	study design	molecular feature identification objective					
OBI:0002591	colocalization identification design				A molecular interaction identification design that investigates the co-occurence and correlation of two or more molecules.	url:https://en.wikipedia.org/wiki/Colocalization		Rebecca Jackson					subclass	molecular interaction identification design						
OBI:0002592	genetic interaction identification design				A molecular interaction identification design that investigates a phenotype that is the result of two or more genetic perturbations, and is not explained by the individual genetic perturbations alone.	MI:0208		Rebecca Jackson					subclass	molecular interaction identification design		genetic characteristics information				
OBI:0002593	functional association identification design				A molecular interaction identification design that investigates a relationship that is the result of intermediate steps between two or more molecules that are not necessarily in direct contact with each other.	MI:2286		Rebecca Jackson					subclass	molecular interaction identification design						
OBI:0002594	direct interaction identification design			molecular binding identification design	A molecular interaction identification design that investigates the influence of molecules, which are in direct contact, on one another.	MI:0407		Rebecca Jackson					subclass	molecular interaction identification design				binding assay		
OBI:0002595	enzymatic reaction identification design				A direct interaction identification design that investigations a biological reaction on a molecule which has been triggered by an enzyme.	MI:0414		Rebecca Jackson					subclass	direct interaction identification design						
OBI:0002596	self interaction identification design				A molecular interaction identification design that investigates intra-molecular interactions between two or more regions of a single molecule.	MI:1126		Rebecca Jackson					subclass	molecular interaction identification design						
OBI:0002614	birth cohort study design				A cohort study design for which the subjects are followed from the time of birth usually including information about gestation and follow up.	MIABIS contributors	The LucKi Birth Cohort Study was designed and started in 2006 to follow children from birth into adulthood on a wide range of determinants, disorders, and diseases.	MIABIS					subclass	study design						
OBI:0002615	disease specific study design				A study design for which material and information is collected from subjects that have already developed a particular disease.	MIABIS contributors	A study of the symptoms experienced by patients who have been diagnosed with multiple sclerosis employs a disease specific study design.	MIABIS					subclass	study design						
OBI:0002624	case-control study design				A study design that entails the creation of two types of roles, such that each participant under investigation bears one or the other. What distinguishes the two types of roles is an 'outcome', which is associated with participants that have the case role but not associated with participants that have the control role. A case-control study examines the hypothesis that the presence of the outcome in case participants is associated with an 'exposure' that is not associated with control participants.	Wikipedia, OBI		John Judkins, Bjoern Peters					subclass	study design						
OBI:0002674	case series design	case series study design	ready for release		A study design that samples only subjects who have experienced a particular event (outcome or exposure). Such a design, in contrast to a cohort study, does not permit calculation of absolute risk as non-case subjects are not included.	https://www.ncbi.nlm.nih.gov/pubmed/22213493	PMID: 22213493	http://orcid.org/0000-0002-8844-9165					subclass	study design						
OBI:0002945	population based design	population based design			A study design where the selection of the individuals that are included into the study are intended to be representative of all individuals in the a priori defined specific population and is done at the population level or among the population groups, generally to find the cause, incidence or spread of the disease or to see the response to the treatment, nutrition or environment.	https://link.springer.com/referenceworkentry/10.1007%2F978-1-4419-1005-9_45, EFO_0001430 population based design		Chris Stoeckert				https://github.com/obi-ontology/obi/issues/1090	subclass	study design						
OBI:0003291	in silico design				A study design that is executed primarily on a computer.	https://en.wikipedia.org/wiki/In_silico		Hector Guzman-Orozco			CMI-PB	https://github.com/obi-ontology/obi/issues/1430	subclass	study design						
OBI:0003658	ring trial design	ring trial design			A study design with the objective of establishing the reproducibility of an experimental approach by performing experiments in different laboratories under the same conditions and comparing the experimental outcomes.		https://eco-fab.org/about-ecofab-initiative/	Bjoern Peters|Sebastian Duesing			Chris Mungall	https://github.com/obi-ontology/obi/issues/1768	subclass	study design						
OBI:0300310	sequential design	sequential design	pending final vetting		Any design in which the decision as to whether to enroll the next patient, pair of patients, or block of patients is determined by whether the cumulative treatment difference for all previous patients is within specified limits.  Enrollment is continued if the difference does not exceed the limits.  It is terminated if it does	MUSC	PMID: 17710740.Pharm Stat. 2007 Aug 20.Sequential design approaches for bioequivalence studies with crossover designs.	Philippe Rocca-Serra		Provenance: OCI			subclass	intervention design						
OBI:0300311	observation design	observation design	pending final vetting		observation design is a study design in which subjects are monitored in the absence of any active intervention by experimentalists.	OBI branch derived	PMID: 12387964.Lancet. 2002 Oct 12;360(9340):1144-9.Deficiency of antibacterial peptides in patients with morbus Kostmann: an observation study.	Philippe Rocca-Serra					subclass	study design						
OBI:0500001	clinical study design	clinical study design	pending final vetting		Plan for the precise procedure to be followed in a clinical trial, including planned and actual timing of events, choice of control group, method of allocating treatments, blinding methods; assigns a subject to pass through one or more epochs in the course of a trial. Specific design elements, e.g., crossover, parallel; dose-escalation [Modified from Pocock, Clinical Trials: A Practical Approach]	Clinical Research Glossary Version 4.0 CDICS glossary group	PMID: 17655677.J Cardiovasc Electrophysiol. 2007 Aug;18(9):965-71.Biventricular versus right ventricular pacing in patients with AV block (BLOCK HF): clinical study design and rationale.	PlanAndPlannedProcess Branch	The definition needs to be extended to other things than simply patients				subclass	study design						
OBI:0500002	repeated measure design	repeated measure design	metadata complete		a study design which use the same individuals and exposure them to a set of conditions. The effect of order and practice can be confounding factor in such designs	http://www.holah.karoo.net/experimentaldesigns.htm	PMID: 10959922.J Biopharm Stat. 2000 Aug;10(3):433-45.Equivalence in test assay method comparisons for the repeated-measure, matched-pair design in medical device studies: statistical considerations.	PlanAndPlannedProcess Branch					subclass	intervention design						
OBI:0500003	cross over design	cross over design	metadata complete		a repeated measure design which ensures that experimental units receive, in sequence, the treatment (or the control), and then, after a specified time interval (aka *wash-out periods*), switch to the control (or treatment). In this design, subjects (patients in human context) serve as their own controls, and randomization may be used to determine the ordering which a subject receives the treatment and control	(source: http://www.sbu.se/Filer/Content0/publikationer/1/literaturesearching_1993/glossary.html)	PMID: 17601993-Objective: HIV-infected patients with lipodystrophy (HIV-lipodystrophy) are insulin resistant and have elevated plasma free fatty acid (FFA) concentrations. We aimed to explore the mechanisms underlying FFA-induced insulin resistance in patients with HIV-lipodystrophy. Research Design and Methods: Using a randomized placebo-controlled cross-over design, we studied the effects of an overnight acipimox-induced suppression of FFA on glucose and FFA metabolism by using stable isotope labelled tracer techniques during basal conditions and a two-stage euglycemic, hyperinsulinemic clamp (20 mU insulin/m(2)/min; 50 mU insulin/m(2)/min) in nine patients with nondiabetic HIV-lipodystrophy. All patients received antiretroviral therapy. Biopsies from the vastus lateralis muscle were obtained during each stage of the clamp. Results: Acipimox treatment reduced basal FFA rate of appearance by 68.9% (52.6%-79.5%) and decreased plasma FFA concentration by 51.6 % (42.0%-58.9%), (both, P < 0.0001). Endogenous glucose production was not influenced by acipimox. During the clamp the increase in glucose-uptake was significantly greater after acipimox treatment compared to placebo (acipimox: 26.85 (18.09-39.86) vs placebo: 20.30 (13.67-30.13) mumol/kg/min; P < 0.01). Insulin increased phosphorylation of Akt (Thr(308)) and GSK-3beta (Ser(9)), decreased phosphorylation of glycogen synthase (GS) site 3a+b and increased GS-activity (I-form) in skeletal muscle (P < 0.01). Acipimox decreased phosphorylation of GS (site 3a+b) (P < 0.02) and increased GS-activity (P < 0.01) in muscle. Conclusion: The present study provides direct evidence that suppression of lipolysis in patients with HIV-lipodystrophy improves insulin-stimulated peripheral glucose-uptake. The increased glucose-uptake may in part be explained by increased dephosphorylation of GS (site 3a+b) resulting in increased GS activity.	Philippe Rocca-Serra					subclass	repeated measure design						
OBI:0500004	n-to-1 design	n-to-1 design	pending final vetting		N-of-1 design is a cross-over design in which the same patient is repeatedly randomised to receive either the experimental treatment or its control (Senn, 1993).	Adapted from  http://www.childrens-mercy.org/stats/definitions/crossover.htm and source:http://symptomresearch.nih.gov/chapter_6/sec1/csss1pg1.htm)		Philippe Rocca-Serra					subclass	cross over design						
OBI:0500005	matched pairs design	matched pairs design	pending final vetting		A matched pair design is a study design which use groups of individuals associated (hence matched) to each other based on a set of criteria, one member going to one treatment, the other member receiving the other treatment.	http://www.holah.karoo.net/experimentaldesigns.htm	PMID: 17288613-BSTRACT: BACKGROUND: Physicians in Canadian emergency departments (EDs) annually treat 185,000 alert and stable trauma victims who are at risk for cervical spine (C-spine) injury. However, only 0.9% of these patients have suffered a cervical spine fracture. Current use of radiography is not efficient. The Canadian C-Spine Rule is designed to allow physicians to be more selective and accurate in ordering C-spine radiography, and to rapidly clear the C-spine without the need for radiography in many patients. The goal of this phase III study is to evaluate the effectiveness of an active strategy to implement the Canadian C-Spine Rule into physician practice. Specific objectives are to: 1) determine clinical impact, 2) determine sustainability, 3) evaluate performance, and 4) conduct an economic evaluation. METHODS: We propose a matched-pair cluster design study that compares outcomes during three consecutive 12-months before, after, and decay periods at six pairs of intervention and control sites. These 12 hospital ED sites will be stratified as teaching or community hospitals, matched according to baseline C-spine radiography ordering rates, and then allocated within each pair to either intervention or control groups. During the after period at the intervention sites, simple and inexpensive strategies will be employed to actively implement the Canadian C-Spine Rule. The following outcomes will be assessed: 1) measures of clinical impact, 2) performance of the Canadian C-Spine Rule, and 3) economic measures. During the 12-month decay period, implementation strategies will continue, allowing us to evaluate the sustainability of the effect. We estimate a sample size of 4,800 patients in each period in order to have adequate power to evaluate the main outcomes. DISCUSSION: Phase I successfully derived the Canadian C-Spine Rule and phase II confirmed the accuracy and safety of the rule, hence, the potential for physicians to improve care. What remains unknown is the actual change in clinical behaviors that can be affected by implementation of the Canadian C-Spine Rule, and whether implementation can be achieved with simple and inexpensive measures. We believe that the Canadian C-Spine Rule has the potential to significantly reduce health care costs and improve the efficiency of patient flow in busy Canadian EDs.	Philippe Rocca-Serra					subclass	study design						
