ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	specimen collection process	gross anatomical part	collection process input	associated axioms	URI
OBI:0000909	cloacal specimen	cell specimen	metadata complete		A specimen obtained by inserting a swab deeply into the vent of the cloaca of an organism and vigorously swabbing the wall. The swab should be deeply stained with fecal material and is then placed in transport medium.	WEB: http://www.wpro.who.int/NR/rdonlyres/EFD2B9A7-2265-4AD0-BC98-97937B4FA83C/0/manualonanimalaidiagnosisandsurveillance.pdf	type of sample used in the PCIRN influenza network	PERSON: Melanie Courtot					equivalent	specimen from organism	collecting specimen from organism	cloaca			
OBI:0000914	nasopharyngeal aspirate specimen	nasopharyngeal aspirate specimen	metadata complete		A specimen which derives from nasopharyngeal mucosa after aspiration.	WEB: http://www.wpro.who.int/NR/rdonlyres/EFD2B9A7-2265-4AD0-BC98-97937B4FA83C/0/manualonanimalaidiagnosisandsurveillance.pdf	type of sample used in the PCIRN influenza network	PERSON: Melanie Courtot					subclass	nasopharynx specimen	aspiration specimen collection	nasopharynx			
OBI:0000917	nasal swab specimen	nasal swab specimen	metadata complete		A specimen obtained using a cotton swab on a stick, passed up the nostril to obtain a sample of exudate and epithelial debris for microbiological or cellular examination.	WEB: http://www.wpro.who.int/NR/rdonlyres/EFD2B9A7-2265-4AD0-BC98-97937B4FA83C/0/manualonanimalaidiagnosisandsurveillance.pdf	type of sample used in the PCIRN influenza network	PERSON: Melanie Courtot					equivalent	upper respiratory tract specimen	collecting specimen with swab		nasal cavity mucosa		
OBI:0000921	labeled RNA extract	labeled RNA extract	metadata complete		a labeled specimen that is the output of a labeling process and has grain labeled RNA to be able to detect RNA in future experiments.	Group: OBI group		Group: OBI group	Need to find out if we consider labeled nucleotides still nucleotides. It is after consulting with ChEBI group. Added duirng Mar 1, 2010 dev call				equivalent	labeled nucleic acid extract	('addition of molecular label' and ('has specified input' some 'RNA extract'))			'has grain' some 'ribonucleic acid'	
OBI:0000922	frozen specimen	frozen specimen	metadata incomplete		A specimen that has been frozen in order to store it.	MO_610 frozen_sample	Frozen blood plasma	Person:Alan Ruttenberg					equivalent	specimen	('freezing storage' and ('has specified input' some ('has role' some 'specimen role')))				
OBI:0000924	labeled specimen	labeled specimen	metadata incomplete		A specimen  that has been modified in order to be able to detect it in future experiments			OBI group	added during call 3/1/2010				equivalent	specimen	addition of molecular label			'has part' some 'molecular label'	
OBI:0000950	paraffin specimen	paraffin specimen	metadata incomplete		a specimen that is output of a paraffin storage process in which specimen is embedded in paraffin	MO_990 paraffin_sample	liver tissue embedded in paraffin	PERSON: Chris Stoeckert|PERSON: Jie Zheng					equivalent	specimen	('paraffin storage' and ('has specified input' some ('has role' some 'specimen role')))				
OBI:0000953	processed specimen	processed specimen	ready for release		A specimen that has been intentionally physically modified.	Bjoern Peters		Bjoern Peters	A tissue sample that has been sliced and stained for a histology study.				equivalent	specimen				'processed material' and 'specimen'	
OBI:0000965	lyophilized specimen	lyophilized specimen	metadata incomplete		a specimen that is output of a lyophilization storage process in which specimen is lyophilized for storage.	MO_589 freeze_dried_sample	freezing dried DNA	PERSON: Chris Stoeckert|PERSON: Jie Zheng					equivalent	specimen	('lyophilization storage' and ('has specified input' some ('has role' some 'specimen role')))				
OBI:0000971	fresh specimen	fresh specimen	metadata incomplete		a specimen that is output of a specimen creation process used for an investigation without storage.	MO_730 fresh_sample	a liver freshly removed from a rat	PERSON: Chris Stoeckert|PERSON: Jie Zheng					subclass	specimen with known storage state					
OBI:0000981	agar stab specimen	agar stab specimen	metadata incomplete		a specimen that is output of a process that cell culture inoculated into agar for long term storage.	MO_971 agar_stab		PERSON: Chris Stoeckert|PERSON: Jie Zheng					equivalent	specimen	('agar stab storage' and ('has specified input' some ('has role' some 'specimen role')))				
OBI:0001010	nucleic acid extract	nucleic acid extract	metadata complete		An extract that is the output of an extraction process in which nucleic acid molecules are isolated from a specimen.	UPenn Group		Person: Jie Zheng					equivalent	specimen	nucleic acid extraction				
OBI:0001051	DNA extract	DNA extract	metadata complete		The output of an extraction process in which DNA molecules are purified in order to exclude DNA from organellas.	Group: UPenn group		Person: Jie Zheng					equivalent	nucleic acid extract	DNA extraction			'has grain' some 'deoxyribonucleic acid'	
OBI:0001143	labeled nucleic acid extract	labeled nucleic acid extract	metadata complete	labeled extract	a labeled specimen that is the output of a labeling process and has grain labeled nucleic acid for detection of the nucleic acid in future experiments.	MO_221 labeledExtract		Person: Jie Zheng					equivalent	labeled specimen	('addition of molecular label' and ('has specified input' some 'nucleic acid extract'))			'has grain' some 'nucleic acid'	
OBI:0001468	cell specimen	cell specimen	metadata incomplete		A specimen primarily composed of a cell or cells collected from a multicellular organism or a cell culture.	MO_612 cell		PERSON: Chris Stoeckert, Jie Zheng, Alexander Diehl	Discussed on obi call Jan 23, 2017. To improve cell specimen that include single cell specimen. Details see tracker: https://sourceforge.net/p/obi/obi-terms/828				equivalent	specimen from organism				'has part' some 'cell'	
OBI:0001472	specimen with known storage state	specimen with known storage state	metadata incomplete		A specimen for which it is known whether it has been subjected to storage of a specified type.	MO_95 BiosourceType		PERSON: Chris Stoeckert, Jie Zheng					equivalent	specimen				'fresh specimen' or ('specimen' and ('is specified output of' some 'storage'))	
OBI:0001479	specimen from organism		ready for release	tissue specimen	A specimen that derives from an anatomical part or substance arising from an organism. Examples of tissue specimen include tissue, organ, physiological system, blood, or body location (arm).	MO_954 organism_part		PERSON: Chris Stoeckert, Jie Zheng					equivalent	specimen			('organism' or 'material anatomical entity' or 'anatomical cluster')		
OBI:0001506	specimen with pre- or post-mortem status	specimen with pre- or post-mortem status	metadata complete		A specimen that has been established to be taken from a live (pre-mortem) or dead (post-mortem) organism.	MO_84 OrganismStatus		PERSON: Chris Stoeckert, Jie Zheng	organizational term, used in description of specimen that is created from known pre- or post-mortem status				equivalent	specimen			('organism' and ('has quality' some ('alive' or 'dead')))		
OBI:0002125	H&E-stained fixed tissue slide specimen	H&E-stained fixed tissue slide specimen	pending final vetting		A fixed tissue slide specimen that is the output of H&E slide staining.	OBIB, OBI		Chris Stoeckert, Ned Haubein					equivalent	fixed tissue slide specimen	H&E slide staining				
OBI:0002126	IHC-stained fixed tissue slide specimen	IHC-stained fixed tissue slide specimen	pending final vetting		A fixed tissue slide specimen that is the output of immunohistochemistry slide staining.	OBIB, OBI		Chris Stoeckert, Ned Haubein					equivalent	fixed tissue slide specimen	IHC slide staining				
OBI:0002127	single cell specimen		metadata complete		A cell specimen that contains only one cell.	PERSON: Jie Zheng, Alexander Diehl		PERSON: Jie Zheng, Alexander Diehl	Requested by Sirarat Sarntivijai (EBI). Details see tracker: https://sourceforge.net/p/obi/obi-terms/828/				subclass	cell specimen					
OBI:0002500	amniotic fluid specimen		ready for release		A specimen that is derived from amniotic fluid.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	bodily fluid specimen	collecting specimen from organism	amniotic fluid			UBERON_0000173
OBI:0002501	bile specimen		ready for release		A specimen that is derived from bile.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	digestive system fluid or secretion specimen	collecting specimen from organism	bile			UBERON_0001970
OBI:0002502	cerebrospinal fluid specimen		ready for release		A specimen that is derived from cerbrospinal fluid.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	bodily fluid specimen	collecting specimen from organism	cerebrospinal fluid			UBERON_0001359
OBI:0002503	feces specimen		ready for release	stool specimen	A specimen that is derived from feces.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	feces			UBERON_0001988
OBI:0002504	digestive system fluid or secretion specimen		ready for release	gastric fluid specimen	A specimen that is derived from digestive system fluid or secretion.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	bodily fluid specimen	collecting specimen from organism	digestive system secreted substance			UBERON_0006911
OBI:0002505	milk specimen		ready for release		A specimen that is derived from milk.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	bodily fluid specimen	collecting specimen from organism	milk			UBERON_0001913
OBI:0002506	pericardial fluid specimen		ready for release		A specimen that is derived from pericardial fluid.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	bodily fluid specimen	collecting specimen from organism	pericardial fluid			UBERON_0002409
OBI:0002507	saliva specimen		ready for release		A specimen that is derived from saliva.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	bodily fluid specimen	collecting specimen from organism	saliva			UBERON_0001836
OBI:0002508	sputum specimen		ready for release		A specimen that is derived from sputum.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	bodily fluid specimen	collecting specimen from organism	sputum			UBERON_0007311
OBI:0002509	sweat specimen		ready for release		A specimen that is derived from sweat.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	bodily fluid specimen	collecting specimen from organism	sweat			UBERON_0001089
OBI:0002510	synovial fluid specimen		ready for release		A specimen that is derived from synovial fluid.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	bodily fluid specimen	collecting specimen from organism	synovial fluid			UBERON_0001090
OBI:0002511	vitreous humor specimen		ready for release	vitreous fluid specimen	A specimen that is derived from vireous humor.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	eye specimen	collecting specimen from organism	(tissue and ('part of' some 'vitreous humor'))			UBERON_0001797
OBI:0002512	bone marrow specimen		ready for release		A specimen that is derived from bone marrow.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	specimen from organism	bone marrow biopsy	bone marrow			UBERON_0002371
OBI:0002513	placenta specimen		ready for release		A specimen that is derived from placenta.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some placenta))			UBERON_0001987
OBI:0002514	peritoneal fluid specimen		ready for release		A specimen that is derived from peritoneal fluid.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	bodily fluid specimen	collecting specimen from organism	peritoneal fluid			UBERON_0001268
OBI:0002515	pleural fluid specimen		ready for release		A specimen that is derived from pleural fluid.	Chris Stoeckert, Penn Medicine Biobank		Chris Stoeckert					equivalent	bodily fluid specimen	collecting specimen from organism	pleural fluid			UBERON_0001087
OBI:0002516	brain specimen		ready for release		A specimen that is derived from brain.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some brain))			UBERON_0000955
OBI:0002517	hair specimen		ready for release		A specimen that is derived from hair.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	strand of hair			UBERON_0001037
OBI:0002518	prostate gland specimen		ready for release		A specimen that is derived from prostate gland.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'prostate gland'))			UBERON_0002367
OBI:0002519	skeletal muscle tissue specimen		ready for release		A specimen that is derived from skeletal muscle.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	skeletal muscle tissue			UBERON_0001134
OBI:0002520	heart specimen		ready for release		A specimen that is derived from heart.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some heart))			UBERON_0000948
OBI:0002521	renal medulla specimen		ready for release	kidney medulla specimen	A specimen that is derived from renal medulla.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'renal medulla'))			UBERON_0000362
OBI:0002522	adrenal gland specimen		ready for release		A specimen that is derived from adrenal gland.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'adrenal gland'))			UBERON_0002369
OBI:0002523	breast specimen		ready for release	mammary tissue specimen	A specimen that is derived from breast.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some breast))			UBERON_0000310
OBI:0002524	urinary bladder specimen		ready for release		A specimen that is derived from urinary bladder.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'urinary bladder'))			UBERON_0001255
OBI:0002525	tibial artery specimen		ready for release		A specimen that is derived from tibial artery.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'tibial artery'))			UBERON_0007610
OBI:0002526	skin of body specimen		ready for release	skin specimen	A specimen that is derived from skin.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'skin of body'))			UBERON_0002097
OBI:0002527	pancreas specimen		ready for release		A specimen that is derived from pancreas.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some pancreas))			UBERON_0001264
OBI:0002528	stomach specimen		ready for release		A specimen that is derived from stomach.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	digestive tract specimen	collecting specimen from organism	(tissue and ('part of' some stomach))			UBERON_0000945
OBI:0002529	pituitary gland specimen		ready for release		A specimen that is derived from pituitary gland.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'pituitary gland'))			UBERON_0000007
OBI:0002530	adipose tissue specimen		ready for release		A specimen that is derived from adipose tissue.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	adipose tissue			UBERON_0001013
OBI:0002531	cortex of kidney specimen		ready for release	kidney cortex specimen	A specimen that is derived from cortex of kidney.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'cortex of kidney'))			UBERON_0001225
OBI:0002532	esophagus mucosa specimen		ready for release		A specimen that is derived from esophagus mucosa.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	digestive tract specimen	collecting specimen from organism	(tissue and ('part of' some 'esophagus mucosa'))			UBERON_0002469
OBI:0002533	colon specimen		ready for release		A specimen that is derived from colon.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	digestive tract specimen	collecting specimen from organism	(tissue and ('part of' some colon))			UBERON_0001155
OBI:0002534	lung specimen		ready for release		A specimen that is derived from lung.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	lower respiratory tract specimen	collecting specimen from organism	(tissue and ('part of' some lung))			UBERON_0002048
OBI:0002535	esophagus muscularis mucosa specimen		ready for release	esophagus muscularis specimen	A specimen that is derived from esophagus muscularis mucosa.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	digestive tract specimen	collecting specimen from organism	(tissue and ('part of' some 'esophagus muscularis mucosa'))			UBERON_0004648
OBI:0002536	cerebral cortex specimen		ready for release	brain cortex specimen	A specimen that is derived from cerebral cortex.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	brain specimen	collecting specimen from organism	(tissue and ('part of' some 'cerebral cortex'))			UBERON_0000956
OBI:0002537	thyroid gland specimen		ready for release		A specimen that is derived from thyroid gland.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'thyroid gland'))			UBERON_0002046
OBI:0002538	cerebellum specimen		ready for release	brain cerebellum specimen	A specimen that is derived from cerebellum.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	brain specimen	collecting specimen from organism	(tissue and ('part of' some cerebellum))			UBERON_0002037
OBI:0002539	tibial nerve specimen		ready for release		A specimen that is derived from tibial nerve.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'tibial nerve'))			UBERON_0001323
OBI:0002540	coronary artery specimen		ready for release		A specimen that is derived from coronary artery.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'coronary artery'))			UBERON_0001621
OBI:0002541	spleen specimen		ready for release		A specimen that is derived from spleen.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some spleen))			UBERON_0002106
OBI:0002542	aorta specimen		ready for release		A specimen that is derived from aorta.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some aorta))			UBERON_0000947
OBI:0002543	atrial appendage specimen		ready for release		A specimen that is derived from the atrium auricular region.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'atrium auricular region'))			UBERON_0006618
OBI:0002544	esophagogastric junction specimen		ready for release		A specimen that is derived from the esophagogastric junction.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	digestive tract specimen	collecting specimen from organism	(tissue and ('part of' some 'esophagogastric junction'))			UBERON_0007650
OBI:0002545	ileum specimen		ready for release		A specimen that is derived from ileum.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	digestive tract specimen	collecting specimen from organism	(tissue and ('part of' some ileum))			UBERON_0002116
OBI:0002546	liver specimen		ready for release		A specimen that is derived from liver.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some liver))			UBERON_0002107
OBI:0002547	minor salivary gland specimen		ready for release		A specimen that is derived from minor salivary gland.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'minor salivary gland'))			UBERON_0001830
OBI:0002548	omentum specimen		ready for release		A specimen that is derived from omentum.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some omentum))			UBERON_0003688
OBI:0002549	ovary specimen		ready for release		A specimen that is derived from female gonad.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some ovary))			UBERON_0000992
OBI:0002550	sigmoid colon specimen		ready for release		A specimen that is derived from sigmoid colon.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	digestive tract specimen	collecting specimen from organism	(tissue and ('part of' some 'sigmoid colon'))			UBERON_0001159
OBI:0002551	suprapubic skin specimen		ready for release		A specimen that is derived from suprapubic skin.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	skin of body specimen	collecting specimen from organism	(tissue and ('part of' some 'suprapubic skin'))			UBERON_0036149
OBI:0002552	testis specimen		ready for release		A specimen that is derived from testis.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some testis))			UBERON_0000473
OBI:0002553	uterus specimen		ready for release		A specimen that is derived from uterus.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some uterus))			UBERON_0000995
OBI:0002554	vagina specimen		ready for release		A specimen that is derived from vagina.	Chris Stoeckert, NCI BBRB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some vagina))			UBERON_0000996
OBI:0002573	polyA depleted RNA extract				A RNA extract that is the output of an extraction process in which RNA molecules lacking poly A tails at thier 3' ends are purified.	UPenn Group		PERSON: Chris Stoeckert|PERSON: Jie Zheng|Mark A. Miller, based on http://purl.obolibrary.org/obo/OBI_0000869					equivalent	RNA extract	RNA extraction with polyA depletion				
OBI:0002599	swab specimen	swab specimen	ready for release		A specimen that is stored on a swab as the output of a collecting specimen with swab process.	OBIB/OBI		Chris Stoeckert			OBIB	https://github.com/obi-ontology/obi/issues/910	equivalent	specimen	collecting specimen with swab				
OBI:0002603	areolar swab specimen		ready for release		A specimen that is collected with a swab from the surface of an areola of a breast.	Chris Stoeckert, OBIB		Chris Stoeckert					equivalent	breast swab specimen	collecting specimen with swab		areola		UBERON_0002032
OBI:0002604	breast swab specimen		ready for release		A specimen that is collected with a swab from the surface of a breast.	Chris Stoeckert, OBIB		Chris Stoeckert					equivalent	breast specimen	collecting specimen with swab		breast		UBERON_0000310
OBI:0002605	cheek swab specimen		ready for release		A specimen that is collected with a swab from the cheek portion of the inside surface of a mouth.	Chris Stoeckert, OBIB		Chris Stoeckert					equivalent	oral swab specimen	collecting specimen with swab		cheek		UBERON_0001567
OBI:0002606	nasopharyngeal swab specimen		ready for release		A specimen that is collected with a swab from the surface of a nasopharynx.	Chris Stoeckert, OBIB		Chris Stoeckert					equivalent	nasopharynx specimen	collecting specimen with swab		nasopharynx		UBERON_0001728
OBI:0002607	oral swab specimen		ready for release		A specimen that is collected with a swab from the inside surface of a mouth.	Chris Stoeckert, OBIB		Chris Stoeckert					equivalent	specimen from organism	collecting specimen with swab		mouth		UBERON_0000165
OBI:0002608	oropharyngeal swab specimen		ready for release		A specimen that is collected with a swab from the surface of a oropharynx.	Chris Stoeckert, OBIB		Chris Stoeckert					equivalent	upper respiratory tract specimen	collecting specimen with swab		oropharynx		UBERON_0001729
OBI:0002609	rectal swab specimen		ready for release		A specimen that is collected with a swab from the surface of a rectum.	Chris Stoeckert, OBIB		Chris Stoeckert					equivalent	digestive tract specimen	collecting specimen with swab		rectum		UBERON_0001052
OBI:0002610	tongue swab specimen		ready for release		A specimen that is collected with a swab from the surface of a tongue.	Chris Stoeckert, OBIB		Chris Stoeckert					equivalent	oral swab specimen	collecting specimen with swab		tongue		UBERON_0001723
OBI:0002611	vagina swab specimen		ready for release		A specimen that is collected with a swab from the surface of a vagina.	Chris Stoeckert, OBIB		Chris Stoeckert					equivalent	vagina specimen	collecting specimen with swab		vagina		UBERON_0000996
