ontology ID	label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	function	has part	part of	manufactured by	associated axioms
OBI:0000146	supernatant collection system harvesting frame	supernatant collection system harvesting frame	metadata complete		A device that is designed for collecting 90% of the supernatant in a microplate well and separating the living cell with no stress, eliminating centrifugation and other similar techniques. It can be used in a variety of release assays with different radioactive isotopes, such as Cr51 or I125.	google		Daniel Schober						device	contain function				
OBI:0000151	filter paper	filter paper	metadata complete		A device manufacture with the intent to provide a porous unsized paper used for filtering.	sep:00107		Frank Gibson						device	filter function				
OBI:0000192	microtiter plate	microtiter plate	ready for release	microplate	A microtiter_plate is a flat plate with multiple wells used as small test tubes.	http://en.wikipedia.org/wiki/Microtiter_plate	A microtiter plate with 6, 24, 96, 384 or 1536 sample wells used in the enzyme-linked immunosorbent assay (ELISA)	Melanie Courtot						device	contain function				
OBI:0000345	mass analyzer	mass analyzer	metadata complete		A Mass analyzer is a device that separates ions according to their mass-to-charge ratio. All mass spectrometers are based on dynamics of charged particles in electric and magnetic fields in vacuum where the two laws of Lorentz force law and Newton's second law of motion apply.	http://en.wikipedia.org/wiki/Mass_spectrometry#Mass_analyzer	The mass analyzer of the Voyager-DE(tm) STR Biospectrometry Workstation	PERSON: Daniel Schober|Frank Gibson						device	measure function|material separation function				
OBI:0000361	ion source	ion source	ready for release		An ion source is a device that is part of a mass spectrometer that ionizes the material under analysis. The ions are then transported by magnetic or electric fields to the mass analyzer.  Techniques for ionization have been key to determining what types of samples can be analyzed by mass spectrometry. Electron ionization and chemical ionization are used for gases and vapors. In chemical ionization sources, the material is ionized by chemical ion-molecule reactions during collisions in the source. Two techniques often used with liquid and solid biological samples include electrospray ionization (due to John Fenn PMID 2675315.) and matrix-assisted laser desorption/ionization (MALDI, due to M. Karas and F. Hillenkamp (Measuring Mass: From Positive Rays to Proteins by Michael A. Grayson (Editor) (ISBN 0-941901-31-9))).	http://en.wikipedia.org/wiki/Mass_spectrometry#Ion_source	The ion source of a Voyager-DE??? STR Biospectrometry Workstation	Frank Gibson						device	ionization function				
OBI:0000364	ion detector	ion detector	ready for release		An ion detector is a device that measures and records the charge induced or current produced when an ion passes by or hits a surface.  Example: In a scanning instrument the signal produced in the detector during the course of the scan versus where the instrument is in the scan (at what m/Q) will produce a mass spectrum, a record of ions as a function of m/Q.	http://en.wikipedia.org/wiki/Mass_spectrometry#Detector	The ion detector of the Voyager-DE(tm) STR Biospectrometry Workstation	Frank Gibson						device	measure function				
OBI:0000389	isoelectric focusing device	isoelectric focusing device	metadata complete	isoelectric focusing unit	An isoelectric focusing device is a device in which isoelectric focusing can be performed. An isoelectric focussing device had the function to contain and control the contained environment and transfer electrical energy from a power supply to a separation medium and the charged material to be separated.	sep:00097		Frank Gibson						device	transfer function|contain function|environment control function				
OBI:0000390	thermostatic circulator	thermostatic circulator	metadata complete		A thermostatic circulator is a device which cools or heats a circulating liquid. It has the function to contain control the contained environment and transfer energy from or to the circulating liquid	sep:00098		Frank Gibson						device	contain function|environment control function				
OBI:0000394	blot module	blot module	metadata incomplete		A blot module is a device which has the function to conatin and facilitate the material transfer process blotting to be realised	sep:00092		Frank Gibson						device	transfer function				
OBI:0000398	image creation device	image acquisition device	metadata incomplete	image acquisition device	An image creation device is a device which captures a digitized image of an object	sep:00096		Frank Gibson					equivalent	device	image acquisition function				
OBI:0000404	gel dryer	gel dryer	metadata complete		A gel dryer is a device which has the function to contain and to control the contained environment to facilitate the drying of gels	sep:00094		Frank Gibson						device	contain function|environment control function				
OBI:0000422	syringe	syringe	ready for release		A processed material which is used to introduce or draw fluids from a material entity. A syringe is made of a piston and body. the movement of the piston in the body determines the amount/volume of fluid to inject or draw	OBI Instrument adapted from Wikipedia	Accuracy of oral liquid measuring devices: comparison of dosing cup and oral dosing syringe.Ann Pharmacother. 2008 Jan;42(1):46-52. Epub 2007 Dec 4. PMID: 18056832	Philippe Rocca-Serra						device	transfer function				
OBI:0000436	needle	needle	metadata complete		A needle is a sharp, hollow device used to penetrate tissue or soft material. When attached to a syringe. it allows delivery of a specific volume of liquid or gaseous mixture.	OBI Instrument	Ovarian carcinoma presenting with axillary lymph node metastasis: A case diagnosed by fine-needle aspiration and brief review of the literature.  Diagn Cytopathol. 2008 Oct 16. PMID: 18925569	Philippe Rocca-Serra						device	transfer function				
OBI:0000448	packed column	packed column	metadata complete		A packed column is a chromatography column where the particles of the solid stationary phase or the support coated with a liquid stationary phase may fill the whole inside volume of the tube.	WEB:<http:www.iupac.org/publications/pac/1993/pdf/6504x0819.pdf>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01218		PERSON:Daniel Schober						chromatography column					
OBI:0000463	column chromatography detector	column chromatography detector	metadata complete		There is a wide range of detectors available for both GC and LC each having their own particular areas of application. In general the more catholic the response, the less sensitive the detector and the most sensitive detectors are those that have a specific response. The performance of all detectors should be properly specified so that the user can determine which is most suitable for a specific application. Such specifications are also essential to compare the performance of different detectors supplied by alternative instrument manufactures. Detector specifications should be presented in a standard form and in standard units, so that detectors can be compared that function on widely different principles.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01077|WEB:<http://www.chromatography-online.org/Principles/Basic-Chromatograph/Detector/rs56.html>		PERSON:Daniel Schober		chromatography detector, defined class/xps				device	measure function				
OBI:0000464	Bruker autosampler	Bruker autosampler	metadata complete		A Bruker autosampler is an autosampler made by Bruker.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400209|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						autosampler					
OBI:0000465	organic acid column	organic acid column	metadata complete		An organic acid column is a chromatography column which enables (reversed-phase) separation of hydrophilic aliphatic and aromatic organic acids with UV detection. Organic acid columns allow retention of polar and apolar organic acids and are hydrolysis resistant.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01099|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						chromatography column					
OBI:0000466	thermal conductivity detector	thermal conductivity detector	metadata complete	TCD, hot wire detector	The most commonly used detector in preparative GC is the thermal conductivity detector (hot wire detector). Even this detector, however, is often too sensitive and has too high a flow impedance. Under such circumstances, the procedure mentioned above must be employed. The eluent from the preparative column is split and a small portion diverted through the detector (sometimes with further dilution with carrier gas to reduce sensitivity).	WEB:<http://www.chromatography-online.org/Preparative/Apparatus/Detectors/rs27.html>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01084		PERSON:Daniel Schober						gas chromatography detector					
OBI:0000467	Bruker US 2 NMR magnet	Bruker US 2 NMR magnet	metadata complete		An actively-shielded superconducting magnet from Bruker that combines Bruker BioSpin's advanced, proprietary UltraShield active shielding and UltraStabilized sub-cooling technologies. This shielded and stabilized (US2) magnet system delivers high sensitivity and spectral dispersion.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400189|WEB:<http://www.bruker-biospin.com/nmr_magnets_950us2.html>		PERSON:Daniel Schober		NMR instrument				Bruker NMR magnet					
OBI:0000468	protein column	protein column	metadata complete		A protein column is a chromatography column used for the separation of complex protein mixtures. Protein columns enable sample desalting, followed by chromatographic separation or fractionation of complex protein samples, e.g. immunodepleted serum or plasma proteins.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01238|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		refactor as defined class				chromatography column					
OBI:0000469	solvent mixer	solvent mixer	metadata complete		A liquid chromatography device that mixes different solvents, e.g. under high pressure and in differrent volumes ranging from 5 ml to 5 L capacity. Powerful magnetic mixers provide vigorous agitation required for high pressure reaction chemistry.	GROUP:<http://msi-ontology.sourceforge.net>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01072		PERSON:Daniel Schober						chromatography instrument					
OBI:0000473	Bruker NMR Case sample changer	Bruker NMR Case sample changer	metadata complete		The NMR Case is an economical NMR sample changer for laboratories with modest automation needs. It expands the maximum number of samples your spectrometer can process during unattended operation to 24. The NMR Case consists of multiple components. The NMR Case exchange module installed atop your cryostat. The two front legs are adjustable, making the NMR Case compatible with many different cryostats.	WEB:<http://www.bruker-biospin.com/automation.html>|http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400203		PERSON:Daniel Schober		NMR instrument				Bruker autosampler					
OBI:0000474	nano pump system	nano pump system	metadata complete		A pump system optimized for nano flow chromatography.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01052|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						chromatography pump system					
OBI:0000475	Bruker AutoClean system	Bruker AutoClean system	metadata complete		NMR tubes are often used once and discarded, creating needless waste. With the Bruker BioSpin Autoclean system you can now recycle 5mm, 3mm, or 5mm/3mm step-down (Wilmad 520-1B) NMR tubes. AutoClean NMR Tube Washing System is a simple way to recoup the substantial investment your organization makes in quality NMR tubes, and cut back on needless waste material.	WEB:<http://www.used-line.com/c5983250s10028-Bruker_Biospin_NMR_Autoclean_Nuclear_Magnetic_Resonance_Organic_Solvents.htm>|http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400205		PERSON:Daniel Schober	washing system/NMR tube washing system, XPS: device has function washing					NMR tube washing system					
OBI:0000476	manual injection system	manual injection system	metadata complete		The traditional hardware system that allows a human to inject a sample into an inlet by hand, using a syringe.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01064|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						sample injection system					
OBI:0000477	Varian GEMINI spectrometer	Varian GEMINI spectrometer	metadata complete		An older Varian Broadband NMR spectrometer.	GROUP:<http://msi-ontology.sourceforge.net>|http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400239		PERSON:Daniel Schober		NMR instrument				Varian NMR instrument					
OBI:0000478	column connector	column connector	metadata complete		A device that connects two or more columns together in a functional way with leak-tight connection, low dead volume, low thermal mass and high inertness.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01236|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		chromatography device				chromatography device					
OBI:0000479	solid NMR probe	solid NMR probe	metadata complete		An NMR probe that is designed to hold a solid sample.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400243|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR device				NMR probe					
OBI:0000480	Bruker high resolution probe	Bruker high resolution probe	metadata complete	HR Probe	BRUKER BIOSPIN's experienced Research & Development group not only delivers top-performance probes for the more common experiments, but also a wealth of special probes for almost any application. For high resolution (HR) NMR we offer probes with a variety of important characteristics and features.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400223|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR probe				Bruker NMR probe					
OBI:0000481	chromatography detector	chromatography detector	metadata complete		A chromatography detector is a device that locates in the dimensions of space and time, the positions of the components of a mixture that has been subjected to a chromatographic process and thus permits the senses to appreciate the nature of the separation.  Defining characteristics are Dynamic Range, Response Index or Linearity, Linear Dynamic range, Detector Response,  Detector Noise Level, Detector Sensitivity or Minimum Detectable Concentration, Total System Dispersion, Sensor Dimensions, Detector Time Constant, Pressure Sensitivity, Flow Sensitivity, Operating Temperature Range.	WEB:<http://www.chromatography-online.org/GC-Detectors/Classification/rs1.html>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01012		PERSON:Daniel Schober						chromatography instrument					
OBI:0000482	normal phase column	normal phase column	metadata complete		A normal phase column is a chromatography column in which the stationary phase is more polar than the mobile phase. Its counterpart is the reversed phase column.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01097|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						chromatography column					
OBI:0000483	APOLLO console	APOLLO console	metadata complete		The APOLLO is a compact, modular, multiple-DSP, Windows XP Professional-based console that can be equipped with up to 8 DDS-based RF transmitter channels configurable from 2 kHz to 3.5 GHz. Each transmitter channel produces a nominal 1V output and has the most agile frequency, phase and amplitude control of any system on the market. An array of additional options are available including multiple RF transmitters, linear high-power RF amplifiers, digital receiver arrays, low noise figure preamplifiers, a gradient control system, shim unit, MAS spin-speed controller, variable temperature unit, digital lock system and probe/coil interface. With its numerous options, the Apollo can be configured for any NMR, NQR or MRI application.	WEB:<http://www.tecmag.com/apollo.htm>|http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400249		PERSON:Daniel Schober		NMR instrument/NMR console				tecmag NMR console					
OBI:0000484	NMR sample holder	NMR sample holder	metadata complete		An NMR sample holder is the part of an NMR instrument, which carries the NMR probe,sample tube and the nmr sample.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400212|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR device				device					
OBI:0000485	chromatography instrument	chromatography instrument	metadata complete		Any instrument that is used to carry out a chromatography experiment.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01262|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		chromatography device, defined class?				device	material separation function				
OBI:0000486	continuous wave NMR instrument	continuous wave NMR instrument	metadata complete		Continuous wave NMR spectrometers are similar to optical spectrometers, but the sample is held in a strong magnetic field, where the frequency of the source is slowly scanned (in some instruments, the source frequency is held constant, and the field is scanned).	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400283|WEB:<http://teaching.shu.ac.uk/hwb/chemistry/tutorials/molspec/nmr3.htm>		PERSON:Daniel Schober		NMR instrument				NMR instrument					
OBI:0000487	fourier transformation NMR instrument	fourier transformation NMR instrument	metadata complete		In fourier transformation NMR, all frequencies in a spectrum are irradiated simultaneously with a radio frequency pulse. Following the pulse, the nuclei return to thermal equilibrium. A time domain emission signal is recorded by the instrument as the nuclei relax. A frequency domain spectrum is obtained by Fourier transformation.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400284|GROUP:<http://teaching.shu.ac.uk/hwb/chemistry/tutorials/molspec/nmr3.htm>		PERSON:Daniel Schober		NMR instrument				NMR instrument					
OBI:0000489	nitrogen phosphorous detector	nitrogen phosphorous detector	metadata complete		The nitrogen phosphorus detector (NPD) (sometimes called the thermionic detector) is a very sensitive, specific detector the design of which, is based on the FID. Physically the sensor appears to be very similar to the FID but, in fact, operates on an entirely different principle. The nitrogen phosphorous detector (sometimes called the thermionic detector) is a very sensitive but specific detector that responds almost exclusively to nitrogen and phosphorous compounds. It is based on the flame ionization detector but differs in that it contains a rubidium or cesium silicate (glass) bead situated in a heater coil, a little distance from the hydrogen flame. If the detector is to respond to both nitrogen and phosphorous then the hydrogen flow should be minimal so that the gas does not ignite at the jet. If the detector is to respond to phosphorous only, a large flow of hydrogen is used which is burnt at the jet. The heated bead emits electrons by thermionic emission. These electrons are collected under a potential of a few volts by an appropriately placed anode, and provides a background current. When a solute containing nitrogen or phosphorous is eluted from the column, the partially combusted nitrogen and phosphorous materials are adsorbed on the surface of the bead. The adsorbed material reduces the work function of the surface and, as consequence, the emission of electrons is increased which raises the current collected at the electrode. The sensitivity of the detector to phosphorous is about 10-12 gram per ml and for nitrogen about 10-11 gram per ml at a signal to nose ratio of 2. The alkali bead as a finite life and needs regular replacement.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01089|WEB:<http://www.chromatography-online.org/topics/nitrogen/phosphorus/detector.html>		PERSON:Daniel Schober						gas chromatography detector					
OBI:0000490	cation exchange column	cation exchange column	metadata complete		A cation exchange column is a chromatography column that is used in cation exchange chromatography.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01096|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						ion exchange column					
OBI:0000491	direct detection NMR probe	direct detection NMR probe	metadata complete		An NMR probe designed to allow the direct detection of acquisition nuclei.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400280|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR device				NMR probe					
OBI:0000492	Bruker B-ACS system	Bruker B-ACS system	metadata complete		The Bruker Automatic Sample Changer (B-ACS 60/120), used in conjunction with Bruker DISNMR, UXNMR or XWIN-NMR software, provides dialog-guided facilities which allow the user to easily and effectively perform automatic (continuous) experiments. Features include a 60 or 120 sample capacity, random accessing of samples, positive sample identification with the optional bar code reader, and temperature control of individual samples with the optional sample heater unit.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400210|WEB:<http://www.bruker-biospin.com/automation.html>		PERSON:Daniel Schober		NMR instrument				Bruker autosampler					
OBI:0000493	rapid resolution column	rapid resolution column	metadata complete		A rapid resolution column is a chromatography column as marketed by Agilent, which is used with a rapid resolution cartridge to ensure a fast chromatography process with good separation resolution.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01102|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						device	material separation function				
OBI:0000494	liquid chromatography autosampler	liquid chromatography autosampler	metadata complete		Designed to perform capillary LC with injection of sample volumes ranging from nL to L.	GROUP:<http://msi-ontology.sourceforge.net>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01061		PERSON:Daniel Schober						chromatography instrument					
OBI:0000495	vacuum degasser	vacuum degasser	metadata complete		A degassing system used for degassing solvents in liquid chromatography. Dissolved gasses, usually nitrogen and oxygen from the air, tend to be evolved in the mobile phase as the pressure is reduced when the mobile phase leaves the liquid chromatography column and enters the detector. Gasses in the mobile phase in the detector can produce completely unacceptable noise and, thus, must be removed. The dissolved gasses were originally removed under vacuum but, unfortunately, are soon replaced if the solvent is left in contact with air at atmospheric pressure. For this reason degassing is now usually carried out by bubbling helium through the mobile phase reservoirs. Secondly, vacuum is used in the thermionic detector. This consists of a device, very similar in design to the thermionic valve which is attached to a vacuum and a small quantity of the eluent from a gas chromatography column allowed to bleed through it. Helium is used as the carrier gas. The presence of solute vapor causes the thermionic current to fall. This type of detector tends to become contaminated rather readily.	WEB:<http://www.chromatography-online.org/topics/vacuum.html>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01053		PERSON:Daniel Schober						chromatography pump system					
OBI:0000496	capillary column	capillary column	metadata complete		A capillary column is a thin tube with a small inner diameter, usually around 0.5 mm.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01066|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						chromatography column					
OBI:0000497	sample inlet	sample inlet	metadata complete		The column inlet (or injector) provides the means to introduce a sample into a continuous flow of carrier gas. The inlet is a piece of hardware attached to the column head.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01044|WEB:<http://en.wikipedia.org/wiki/Gas_chromatography#Inlets>		PERSON:Daniel Schober		chromatography device				chromatography device					
OBI:0000498	NMR tube washing system	NMR tube washing system	metadata complete		An automatic cleaning system for NMR tubes that removes previous probe and sample residues in order to allow for tube recycling.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400204|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR instrument				device					
OBI:0000499	NMR console	NMR console	pending final vetting		A component of an NMR instrument that controls the activities of the other components.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400015|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR instrument, TODO: same as or part of acquisition computer?				device					
OBI:0000500	dual loop autosampler	dual loop autosampler	metadata complete		A dual loop autosampler is an autosampler that is designed for handling both analytical (10 mL/min flow rate) to preparative scale sample purification (100 mL/min flow rate).	WEB:<http://www.chem.agilent.com/scripts/pds.asp?lpage=17149>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01063		PERSON:Daniel Schober						liquid chromatography autosampler					
OBI:0000501	variable wavelength detector	variable wavelength detector	metadata complete		A chromatography detector, that can detect signals within a certain range at user-defined wavelengths.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01079|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						device	measure function				
OBI:0000503	Bruker LC-NMR platform	Bruker LC-NMR platform	metadata complete		The LC-NMR/MS setup was first introduced by Bruker BioSpin in 1999. An LC-NMR system including a Bruker Peak Sampling Unit (BPSU-36) was coupled with a Bruker Daltonics esquire series ion trap mass spectrometer via a Bruker NMR-MS interface (BNMI). Since October 2004 the Bruker Daltonics microTOF-LC time-of-flight mass spectrometer can also be integrated in an LC-NMR setup.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400276|WEB:<http://www.bruker-biospin.com/hyphenation_lcnmr_ms.html>		PERSON:Daniel Schober		NMR instrument|hyphenated NMR instrument platform				Bruker NMR instrument					
OBI:0000504	sample injection system	sample injection system	metadata complete		An automated chromatography system that injects the sample into the chromatography columns in order to increase speed and minimize human involvement in the purification process for  better reproducibility.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01057|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		chromatography device				chromatography device					
OBI:0000505	multiple wavelength detector	multiple wavelength detector	metadata complete		A chromatography detector, that can detect many discrete wavelengths in parallel and produces a multiple wavelength chromatographic profile.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01078|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						device	measure function				
OBI:0000506	photoionization detector	photoionization detector	metadata complete	PID	The selective determination of aromatic hydrocarbons or organo-heteroatom species is the job of the photoionization detector (PID). This device uses ultraviolet light as a means of ionizing an analyte exiting from a GC column. The ions produced by this process are collected by electrodes. The current generated is therefore a measure of the analyte concentration. f the amount of ionization is reproducible for a given compound, pressure, and light source then the current collected at the PID's reaction cell electrodes is reproducibly proportional to the amount of that compound entering the cell. The reason why the compounds that are routinely analyzed are either aromatic hydrocarbons or heteroatom containing compounds (like organosulfur or organophosphorus species) is because these species have ionization potentials (IP) that are within reach of commercially available UV lamps. The available lamp energies range from 8.3 to 11.7 ev, that is, lambda max ranging from 150 nm to 106 nm. Although most PIDs have only one lamp, lamps in the PID are exchanged depending on the compound selectivity required in the analysis.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01090|WEB:<http://www.chemistry.adelaide.edu.au/external/soc-rel/content/pid.htm>		PERSON:Daniel Schober						gas chromatography detector					
OBI:0000507	gas generator	gas generator	metadata complete		An instrument that generates gases for use with the gas chromatograph. Previously gas was obtained from gas tanks or gas cylinders. However, over the past decade the use of gas generators have become more popular as it avoids having gases at high pressure in the laboratory which is perceived by some as potentially dangerous. In addition, the use of a hydrogen generator avoids the use of a cylinder of hydrogen at high pressure which is also perceived by some as a serious fire hazard despite the fact that they have been used in laboratories, quite safely for nearly a century.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01033|WEB:<http://www.chromatography-online.org/GC/Gas-Supplies/Pure-Air-Generators./rs5.html>		PERSON:Daniel Schober		gas chromatography equipment				gas chromatography equipment					
OBI:0000508	column jacket	column jacket	metadata complete		A column jacket is a piece of column chromatography equipment that covers a column in order to ensure thermoisolation and create a controllable thermostatic microenvironment.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01276|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		chromatography device				chromatography device					
OBI:0000509	electron capture detector	electron capture detector	metadata complete	ECD	The electron capture detector is a GC detector that uses a radioactive Beta emitter (electrons) to ionize some of the carrier gas and produce a current between a biased pair of electrodes. When organic molecules that contain electronegative functional groups, such as halogens, phosphorous, and nitro groups pass by the detector, they capture some of the electrons and reduce the current measured between the electrodes.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01085|WEB:<http://homepages.onsnet.nu/%7Ealkema/html/whatisgc.html>		PERSON:Daniel Schober						gas chromatography detector					
OBI:0000510	reversed phase column	reversed phase column	metadata complete		A reversed phase column is a chromatography column in which the mobile phase is more polar than the stationary phase. Its counterpart is the normal phase column.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01106|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						chromatography column					
OBI:0000511	injector lubricant	injector lubricant	metadata complete		A lubricant used in liquid chromatography that eases sample injector penetration.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01118|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						chromatography consumable					
