ontology ID	label	editor preferred term	has curation status	alternative label	IEDB Alternative Terms	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	obsolete	obsolescence reason	replacement term	Randi notes on obsolescence
OBI:0000665	obsolete intracellular cytokine staining assay		metadata complete	ICCS|ICS	intracellular cytokine staining (ICS)	The measurement of cytokines within the cytoplasm of a cell by permeabilizing the cell membrane to allow entry of specific antibodies, and counting the stained cells using a flow cytometer.	IEDB	Permeabilizing T cells and staining them with fluorescent labeled anti-IFN-gamma antibodies	IEDB					subclass	Obsolete Class	true	IAO:0000227	OBI:0000916	
OBI:0000667	obsolete MHC multimer staining assay		metadata complete	MHC tetramer assay	MHC tetramer/multimer staining	An MHC multimer assay is an assay that detects T cells capable of binding the MHC:ligand complexes present in the multimer. The multimer is fluorescently labelled. The T cells bound to multimers are counted in a flow cytometer	IEDB	Measuring T cells that are specific for the SYFPEITHI peptide when presented by the murine MHC molecule H-2 Kd by staining them with a tetramer of peptide loaded MHC complexes.	IEDB					subclass	Obsolete Class	true	IAO:0000227	OBI:1110179	
OBI:0000682	obsolete_study result		metadata complete			Study result is an information content entity  that is a specified data output of a study.	GROUP: OBI							subclass	Obsolete Class	true	IAO:0000230		
OBI:0000698	obsolete_DNA ligase		metadata incomplete	ligase		A DNA ligase is an enzyme that covalently joins two compatible pieces of DNA through the cleavage of an ATP molecule			Kevin Clancy, Bjoern Peters					subclass	Obsolete Class	true	IAO:0000228		
OBI:0000794	obsolete transcription factor binding site		example to be eventually removed				SO:0000235				PLace_holder for sequence ontology term		https://github.com/obi-ontology/obi/issues/1553	subclass	Obsolete Class	true	IAO:0000228	SO:0000235	
OBI:0000797	obsolete_primary structure of protein					The primary structure of a protein that is completely defined by the set of its amino acid residue parts and the linear order induced by the peptide bonds that hold them together		SIINFEKL' is the primary structure of a peptide	Person:Bjoern Peters					subclass	Obsolete Class	true	IAO:0000228		
OBI:0000830	obsolete_primary structure of sequence macromolecule					A quality inhering in a molecule that is completely defined by the linear sequence of a set of residues which are connected by directional, linear bonds			Person:Bjoern Peters					subclass	Obsolete Class	true	IAO:0000228		
OBI:0000844	obsolete hospital		metadata complete			A medical organization at which sick or injured people are given clinical care	modified from the wording of the wordnet definition; http://www.golovchenko.org/cgi-bin/wnsearch?q=hospital#2n	human ethics approval was obtained from the Southern Tasmania Health & Medical Human Research Ethics Committee and the Royal Hobart Hospital Research Ethics Committee [pmid:19696660]	Person:Helen Parkinson|Person:Alan Ruttenberg				https://github.com/obi-ontology/obi/issues/1295	subclass	Obsolete Class	true	IAO:0000228	OMRSE:00000056	
OBI:0000851	obsolete_diethyl pyrocarbonate													subclass	Obsolete Class	true	IAO:0000228		
OBI:0000856	obsolete intracellular material detection by flow cytometry assay		metadata incomplete		intracellular staining	An assay in which the presence of a material inside a cell is measured by permeabilizing the cell membrane to allow entry of specific antibodies, and counting the stained cells using a flow cytometer.								subclass	Obsolete Class	true	IAO:0000227	OBI:0000916	
OBI:0000926	obsolete_ambidexterious handedness													subclass	Obsolete Class	true	IAO:0000103		
OBI:0000929	obsolete_training service provider role		metadata incomplete			a service provider role which is realized by a servicer provider organization performing some training	OBI	EBI provides training on databases and tools and has a training service provider role	PERSON:Helen Parkinson					subclass	Obsolete Class	true	IAO:0000103		
OBI:0000936	obsolete_material access provider role		metadata incomplete			a service provider role which is realized by a servicer provider organization performing access to some material	OBI	A person or organization who provides access to a DNA sequencer.	PERSON:Helen Parkinson					subclass	Obsolete Class	true	IAO:0000103		
OBI:0000937	obsolete_left handedness													subclass	Obsolete Class	true	IAO:0000228		
OBI:0000956	obsolete_handedness													subclass	Obsolete Class	true	IAO:0000228	PATO:0002201	
OBI:0000972	obsolete_electrically powered device					a processed material created to have a function and which requires electrical power to execute								subclass	Obsolete Class	true	IAO:0000103		
OBI:0000974	obsolete_right handedness													subclass	Obsolete Class	true	IAO:0000228		
OBI:0000980	obsolete_protocol service provider role		metadata complete			a service provider role which is realized by a servicer provider organization performing a protocol execution		DNA sequencing of a sample by a core lab which returns data to the consumer	PERSON:Helen Parkinson					subclass	Obsolete Class	true	IAO:0000103		
OBI:0000986	obsolete_DNA sequencing training service		metadata incomplete			A training process with the objective to provide a trainee with the skill to run DNA sequencing experiments								subclass	Obsolete Class	true	IAO:0000103		
OBI:0000987	obsolete_general scalar measurement datum		uncurated											subclass	Obsolete Class	true	IAO:0000103		
OBI:0000988	obsolete performing a diagnosis		metadata incomplete			The interpretation of the information available about bodily features (clinical picture) of a patient resulting in a diagnosis		Diagnosing that a patient has pneumonia based on information on measurements of temperature, sound of breathing, and patient complaining about a headache.					https://github.com/obi-ontology/obi/issues/623	subclass	Obsolete Class	true	IAO:0000103		
OBI:0001009	obsolete_qualitative binding detection assay		metadata incomplete			A binding assay where the specified output determines if two or more material entities do or do not have the disposition to form a complex above a threshold level of significance. The threshold can be defined through detection limits of the instrument, the use of experimental controls that establish what is considered significant binding, or a predefined cutoff based on what binding is considered significant in a certain context.			PERSON: Bjoern Peters, Randi Vita, Jason Greenbaum					subclass	Obsolete Class	true	IAO:0000103		
OBI:0001037	obsolete_specimen fixation function		metadata incomplete			A specimen fixation function is a function that holds or fastens an entity in a fixed position.			EAGLE-I					subclass	Obsolete Class	true	IAO:0000227		
OBI:0001250	obsolete intracellular material detection by flow cytometry assay  of epitope specific cytotoxic T cell degranulation		ready for release		T cell degranulation by intracellular staining	An intracellular material detection by flow cytometry assay  that measures epitope specific cytotoxic T cell degranulation	IEDB (QTT)		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	Obsolete Class	true	IAO:0000227	OBI:0000916	
OBI:0001540	obsolete T cell recognition of eluted MHC ligand assay		metadata complete		T cell recognition	An assay that identifies an MHC ligand using a T cell response assay as a readout	IEDB	Using proliferation of a T cell line specific for SIINFEKL in response to material eluted from a cell as evidence that SIINFEKL was presented by MHC on that cell.	PERSON: Randi Vita, Bjoern Peters					subclass	Obsolete Class	true	IAO:0000227	OBI:0001469	
OBI:0001560	obsolete cell lysate MHC binding constant determination assay		metadata complete			An assay that measures the affinity of a ligand to a MHC in a cell lysate preparation and that quantifies the affinity with a binding constant.	IEDB		PERSON: Bjoern Peters					subclass	Obsolete Class	true	IAO:0000103		
OBI:0001572	obsolete cell bound MHC binding constant determination assay		metadata complete			An assay that measures the affinity of a ligand to MHC moleculs bound to the cell surface and that quantifies the affinity with a binding constant.	IEDB		PERSON: Bjoern Peters					subclass	Obsolete Class	true	IAO:0000103		
OBI:0001574	obsolete cell lysate MHC competitive binding assay using radioactivity detection		ready for release		cell lysate MHC competitive binding using radioactivity	competitive inhibition of binding assay measuring MHC ligand binding by radioactivity detection using MHC derived from a cell lysate	IEDB (QTT)		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	Obsolete Class	true	IAO:0000227	OBI:0001544	
OBI:0001576	obsolete purified MHC binding constant determination assay		metadata complete			An assay that measures the affinity of a ligand to a purified MHC complex preparation and that quantifies the affinity with a binding constant.	IEDB		PERSON: Bjoern Peters					subclass	Obsolete Class	true	IAO:0000103		
OBI:0001582	obsolete cell bound MHC direct binding assay		ready for release		cell bound MHC direct binding	direct binding assay measuring MHC ligand binding using MHC derived from a cell	IEDB (QTT)		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	Obsolete Class	true	IAO:0000103		
OBI:0001611	obsolete purified MHC direct binding assay		ready for release		purified MHC direct binding	direct binding assay measuring MHC ligand binding using MHC derived from a purified MHC molecule preparation	IEDB (QTT)		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	Obsolete Class	true	IAO:0000103		
OBI:0001712	obsolete B cell epitope direct binding assay		ready for release		direct binding assay	A direct binding assay using a assay	IEDB (QTT)		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	Obsolete Class	true	IAO:0000103		
OBI:0001715	obsolete B cell epitope competitive binding assay		ready for release		competitive binding assay	A competitive inhibition of binding assay using a assay	IEDB (QTT)		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	Obsolete Class	true	IAO:0000103		
OBI:0001737	obsolete B cell epitope specific X-ray crystallography assay		ready for release		X-ray crystallography [Ã…]	A X-ray crystallography assay measuring epitope specfic antibody binding event in angstroms	IEDB (QTT)		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	Obsolete Class	true	IAO:0000227	OBI:0001738	
OBI:0002782	obsolete_upper respiratory specimen					A specimen that is derived from the upper respiratory tract	Asiyah Yu Lin ORCID:0000-0003-2620-0345		Asiyah Yu Lin ORCID:0000-0003-2620-0345					subclass	Obsolete Class	true	IAO:0000227	OBI:2000006	
OBI:0100015	obsolete_anatomical entity		organizational term			An anatomical entity is a material entity that is part of a multicellular organism, and which is large enough so that it forms an identifiable structure in the organism. Specifically, it excludes granular parts of the organism, such as atoms, molecules, cells, which can be removed from the organism without affecting it. It is defined as the union of 'multi-tissue structure', 'body substance' and 'portion of tissue'	MO	Tissue, organ, system, sperm, blood or body location (arm).	Bjoern Peters|Philippe Rocca-Serra|Tina Boussard					subclass	Obsolete Class	true	IAO:0000228		
OBI:0100035	obsolete_immortal cell		metadata complete			a cell derived from a multicellular organism that has the potential to replicate indefinitely	GROUP: OBI Biomaterial Branch	a single Hela cell	PERSON: Bjoern Peters					subclass	Obsolete Class	true	IAO:0000228		
OBI:0100039	obsolete_fragment derived from protein		metadata incomplete			A material entity which is derived from a  protein	GROUP: IEDB	the peptide with sequence SIINFEKL, which is eluted from a cell expressing hen egg lysozyme	PERSON: Bjoern Peters					subclass	Obsolete Class	true	IAO:0000103		
OBI:0100055	obsolete_cell line cell		metadata complete			A material entity that represents generations of a primary culture.	GROUP: OBI Biomaterial Branch		PERSON: Susanna Sansone					subclass	Obsolete Class	true	IAO:0000228		
OBI:0100056	obsolete_immortal cell line culture		metadata complete	immortal cell line sample|permanent cell line		A cell line that is expected to be capable of indefinite propagation in an vitro culture.	PERSON:Matthew Brush		PERSON:Matthew Brush					subclass	Obsolete Class	true	IAO:0000228	CLO:0009828	
OBI:0100062	obsolete_cell line		metadata complete	cell line sample		A secondary cultured cell population that represents a genetically stable and homogenous population of cultured cells that shares a common propagation history (ie has been successively passaged together in culture).	OBI-CLO Alignment Working Group (Spring 2013)	A split of HeLa cells in active culture, or stored in frozen aliquots. Populations of HEK 293 cells used in experiments such as those documented in Changes in ultrastructure and endogenous ionic channels activity during culture of HEK 293 cell line. Eur J Pharmacol. 2007 Jul 12;567(1-2):10-8. PMID: 17482592.|He, Tong-Chuan, et al. Identification of c-MYC as a target of the APC pathway. Science 281.5382 (1998): 1509-1512. - To evaluate the transcriptional effects of APC, we studied a human colorectal cancer cell line (HT29-APC) containing a zinc-inducible APC gene and a control cell line (HT29–β-Gal) containing an analogous inducible lacZ gene. Note that common usage in the literature is often of the form a human colorectal cancer cell line, as seen above. But such references to studies in a line refer to the fact that discrete populations of cells that are input into culturing or experiments, not an entire lineage of cells.  It is these discrete populations that we refer to as 'cell lines'.	PERSON:Matthew Brush					subclass	Obsolete Class	true	IAO:0000228	CLO:0000031	
OBI:0100069	obsolete_polymer		metadata complete			A macromolecule is a molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.	TERM: CHEBI:33839		James Malone|Philippe Rocca-Serra					subclass	Obsolete Class	true	IAO:0000228		
OBI:0200198	obsolete tandem mass spectrometry		metadata complete			Tandem mass spectrometry is a data transformation that uses two or more analyzers separated by a region in which ions can be induced to fragment by transfer of energy (frequently by collision with other molecules.	PERSON: Tina Boussard	A precursor ion is selected in the first stage, allowed to fragment and then all resultant masses are scanned in the second mass analyzer and detected in the detector that is positioned after the second mass analyzer. This experiment is commonly performed to identify transitions used for quantification by tandem MS.	PERSON: James Malone|PERSON: Tina Boussard					subclass	Obsolete Class	true		OBI:0003540	
OBI:0302714	obsolete_collection (of entities of organismal origin)		metadata complete	set|group|ensemble		a collection is a bfo:aggregate object, that is a set of material object of the same kind	PERSON: Philippe Rocca-Serra	PMID: 18037794. Magn Reson Med Sci. 2007;6(3):139-46. Imaging of a large collection of human embryo using a super-parallel MR microscope.[the Orsay Museum has a nice collection of Impressionnist paintings]	PERSON: Susanna Sansone					subclass	Obsolete Class	true	IAO:0000103		
OBI:0302743	obsolete_liver		pending final vetting			liver is an anatomical entity which constituent are mainly hepatocytes, which has a function of detoxification, hematopoietic center, glucose and fat metabolism management. liver is only found in animals , all Vertebrates and some families of invertebrates	GROUP: OBI Biomaterial Branch	PMID: 2104732. Caudate lobe of the liver: anatomy, embryology, and pathology. AJR Am J Roentgenol. 1990 Jan;154(1):87-93.	PERSON: Philippe Rocca-Serra					subclass	Obsolete Class	true	IAO:0000228		
OBI:0302745	obsolete_adipose tissue		pending final vetting			adipose tissue is a tissue which main constituents are adipocytes. adipose tissue can be classified base on its location (site) but also based on adipocyte subtypes (brown or white) which reflect functional differences and is only found in animals, Vertebrates or invertebrates.	GROUP: OBI Biomaterial derived	PMID: 18435934.Fatty acid composition of adipose tissue and blood in humans and its use as a biomarker of dietary intake.Prog Lipid Res. 2008 Apr 4.	PERSON: Philippe Rocca-Serra					subclass	Obsolete Class	true	IAO:0000228		
OBI:0302901	obsolete_activation		uncurated			a process by which a material entity status is modified and conferred a capability of reacting (this sounds like a circular definition , hugh!)	OBI-Branch	PMID: 18566411.Activation of the JAK/STAT-1 Signaling Pathway by IFN-{gamma} Can Down-Regulate Functional Expression of the MHC Class I-Related Neonatal Fc Receptor for IgG.J Immunol. 2008 Jul 1;181(1):449-63.	Philippe Rocca-Serra					subclass	Obsolete Class	true	IAO:0000103		
OBI:0600003	obsolete performing a clinical assessment		metadata complete	clinical diagnosis		A protocol application during which a series of tests are made of a patient leading to determination of disease state, or condition.	OBI branch derived		PlanAndPlannedProcess Branch				https://github.com/obi-ontology/obi/issues/623	subclass	Obsolete Class	true	IAO:0000103		
OBI:0600065	obsolete_defined processes		organizational term			Place holder class, see editor note	OBI branch derived		PlanAndPlannedProcess Branch					subclass	Obsolete Class	true	IAO:0000226		
OBI:1110002	obsolete_occurrence of disease		metadata incomplete			An occurrence of disease is a process involving pathologic changes within an organism	IEDB		IEDB					subclass	Obsolete Class	true	IAO:0000228		
OBI:1110055	obsolete_disease		organizational term			placeholder to be imported from disease ontology	IEDB		IEDB					subclass	Obsolete Class	true	IAO:0000228	OGMS:0000031	
OBI:1110132	obsolete CD8 receptor			CD8		A transmembrane glycoprotein that serves as a co-receptor for the T cell receptor.						https://github.com/obi-ontology/obi/issues/353		subclass	Obsolete Class	true		PR:000025402	
REO:0000171	obsolete molecular label role		ready for release	molecular tracer role		A reagent role inhering in a molecular entity intended to associate with some molecular target to serve as a proxy for the presence, abundance, or location of this target in a detection of molecular label assay.	OBI developer call, 3-12-12		Group: OBI					subclass	Obsolete Class	true	OBI:0002743		
REO:0000280	obsolete molecular label		ready for release	molecular tracer		A molecular reagent intended to associate with some molecular target to serve as a proxy for the presence, abundance, or location of this target in a detection of molecular label assay	OBI developer call, 3-12-12		Group: OBI					subclass	Obsolete Class	true	OBI:0002744		
