ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	logical note	parent class	material processing technique	detection technique	evaluant	measurand	analyte	device	reagent	molecular label	input	output	target entity	target context	objective	associated axioms
OBI:0000634	DNA methylation profiling assay		ready for release	DNA methylation profiling	An assay that measures the state of methylation of DNA molecules using genomic DNA collected from a material entity using a range of techniques and instrument such as DNA sequencers and often relying on treatment with bisulfites to ensure cytosine conversion.	OBI branch derived	Genome-wide, high-resolution DNA methylation profiling using bisulfite-mediated cytosine conversion. Reinders J, Delucinge Vivier C, Theiler G, Chollet D, Descombes P, Paszkowski J._PMID:18218979	Philippe Rocca-Serra					subclass		epigenetic modification assay			DNA extract						(specimen and ('has part' some 'deoxyribonucleic acid'))	data item	DNA methylation		epigenetic modification identification objective	
OBI:0000661	enzyme-linked immunosorbent assay			ELISA	An analyte assay where binding of an enzyme linked antibody to a material entity that is immobilized on solid support is detected utilizing a chemiluminescent reaction. Depending on the setup, the enzyme-linked antibody could be binding directly to the analyte, or it serves as a secondary antibody detecting binding of the primary antibody to the analyte.	IEDB	1) Detection of IL-2 (analyte) in a cell supernatant (evaluant), using plate bound anti IL-2 antibodies, and a reporter enzyme-linked reporter antibody. 2) Measurement of IgG antibody (analyte) titer in a serum sample (evaluant) using plate bound antigen and a reporter anti-IgG antibody.	IEDB					subclass	logical definition does not capture details of processing	analyte assay							immunoglobulin complex, circulating							
OBI:0000664	BrdU incorporation assay				A cell proliferation assay in which cells are cultured in the presence of BrdU which is incorporated into newly synthesized DNA of replicating cells (during the S phase of the cell cycle), substituting for thymidine during DNA replication, which can be quantified by BrdU specific antibodies.	IEDB	The measurement of T cell proliferation as a response to a viral peptide by culturing T cells stimulated with APCs and peptide in the presence of BrdU.	IEDB					subclass	logical definition does not capture how exactly BRDU is utilized	cell proliferation assay								""5-bromo-2'-deoxyuridine""						
OBI:0000669	tritiated thymidine incorporation assay				A cell proliferation assay in which cells are cultured in the presence of tritiated thymidine which is incorporated into newly synthesized DNA of replicating cells (during the S phase of the cell cycle). The radioactivity of tritiated thymidine in a cell is a proxy for cells that were actively replicating.	IEDB	The measurement of T cell proliferation as a response to a viral peptide by culturing T cells stimulated with APCs and peptide in the presence of tritiated thymidine, and using a scintillation counter to detect the radioactivity.	IEDB					subclass	logical definition does not capture how exactly thymidine is utilized	cell proliferation assay		radioactivity detection						tritiated thymidine						
OBI:0000693	MeDIP-seq assay		metadata complete	Methylated DNA immunoprecipitation sequencing assay	A DNA methylation profiling assay that identifies methylated sites in genomic DNA and determines the methylation pattern that affect gene transcription using immunoprecipitation of methylated genomic DNA, creation of a library of corresponding DNA fragments (either single or paired-end fragments) and subsequent sequencing using parallelized sequencing methods.	url:https://en.wikipedia.org/wiki/Methylated_DNA_immunoprecipitation	PMID: 18612301. A Bayesian deconvolution strategy for immunoprecipitation-based DNA methylome analysis. Down TA, Rakyan VK, Turner DJ, Flicek P, Li H, Kulesha E, Gr�_f S, Johnson N, Herrero J, Tomazou EM, Thorne NP, B�_ckdahl L, Herberth M, Howe KL, Jackson DK, Miretti MM, Marioni JC, Birney E, Hubbard TJ, Durbin R, Tavar�� S, Beck S. Nat Biotechnol. 2008 Jul;26(7):779-85.	Philippe Rocca-Serra					subclass	infer chip & sequecing assays	DNA methylation profiling assay	chromatin immunoprecipitation|library preparation	sequencing assay	DNA extract|('has part' some chromatin)			DNA sequencer			DNA extract	sequence data	regulation of DNA methylation		epigenetic modification identification objective	
OBI:0000695	chain termination sequencing assay		metadata complete	Sanger sequencing|dye terminator sequencing	A DNA sequencing assay which rely on the use of dideoxynucleotides used in 4 distinct sequencing reaction on the same DNA sample. The dideoxynucleotides, once incorporated in the complementary DNA strand being synthesized by the DNA polymerase prevent any further chain elongation. The newly generated sequences are resolved on a polyacrylamide gel using electrophoresis and labels (either fluorochrome or radioactivity) are used to determine the nucleotide present at a given position	url:https://en.wikipedia.org/wiki/Sanger_sequencing	PMID: 271968. DNA sequencing with chain-terminating inhibitors.	Philippe Rocca-Serra					subclass		DNA sequencing by synthesis assay						('ABI 377 automated sequencer' or 'Li-Cor 4300 DNA Analysis System')			PCR product					
OBI:0000697	Helicos sequencing assay		metadata complete	true single molecule sequencing	A DNA sequencing by synthesis assay that identifiies the sequnece of billions of DNA molecules immobilized to a surface using DNA polymerase and fluorescently labeled nucleotides added one at a time. The sequencing process does not require an amplification step and is typically able to produce reads of 25 base pair length.	url:https://en.wikipedia.org/wiki/Helicos_single_molecule_fluorescent_sequencing	PMID: 18388294. Single-molecule DNA sequencing of a viral genome.	Philippe Rocca-Serra					subclass		DNA sequencing by synthesis assay						HeliScope Single Molecule Sequencer								
OBI:0000699	survival assessment assay		metadata incomplete		An assay that measures the occurrence of death events in one or more organisms over time								subclass		assay									organism	survival rate	organism			
OBI:0000705	Edman degradation				A sequencing assay in which the amino acid sequence of input peptides or proteins is determined by iteratively cleaving of the amino-terminal (N-terminal) residue without disrupting the peptide bonds and identifying it by e.g. chromatography or electropheresis.	IEDB	Determination of the amino acid sequence of a peptide eluted from HLA-DRB1*04:01 to be VYPEVTVYPAKT.	IEDB					subclass	logical definition does not capture iterative cleaving	sequencing assay								material entity		information content entity	polypeptide			
OBI:0000706	SOLiD sequencing assay		metadata complete		A DNA sequencing by ligation assay that identifies sequence information using primers to hybridize to the P1 adapter sequence within the library template, fluorescently labeled di-base probes to compete for ligation to the sequencing primer, multiple cycles of ligation, detection and cleavage to determine the eventual read length, following a series of ligation cycles, the extension product is removed and the template is reset with a primer complementary to the n-1 position for a second round of ligation cycles.	url:https://en.wikipedia.org/wiki/ABI_Solid_Sequencing	PMID: 19119315. High-resolution analysis of the 5'-end transcriptome using a next generation DNA sequencer. Hashimoto S, Qu W, Ahsan B, Ogoshi K, Sasaki A, Nakatani Y, Lee Y, Ogawa M, Ametani A, Suzuki Y, Sugano S, Lee CC, Nutter RC, Morishita S, Matsushima K. PLoS One. 2009;4(1):e4108.	Philippe Rocca-Serra					subclass		DNA sequencing by ligation assay						AB SOLiD System			('DNA ligase' or 'paired-end library' or 'single fragment library')					
OBI:0000716	ChIP-seq assay		ready for release	chromatin immunoprecipitation sequencing assay	An assay in which chromatin is immunoprecipitated and subsequently analyzed using a DNA sequencing step to identify which parts of DNA are part of the isolated chromatin	url:https://en.wikipedia.org/wiki/ChIP-sequencing	PMID: 19275939	Philippe Rocca-Serra|Bjoern Peters					equivalent		ChIP assay		DNA sequencing assay				DNA sequencer								
OBI:0000721	glucose tolerance test		ready for release		An assay that measures glucose clearance from blood over time by repeated glucose measurement in blood serum or plasma after the administration of a glucose bolus in-vivo. This assay can be used to evaluate the severity of insulin resistance or the efficiency of glucose clearance.	NuGO OBI plan branch	PMID: 19527607	Philippe Rocca-Serra					subclass		assay	administering substance in vivo	measuring glucose concentration in blood serum assay	blood serum specimen								Insulin resistance		biological feature identification objective	
OBI:0000723	DNA sequencing by ligation assay		metadata incomplete		A DNA sequencing assay that performs chain extension during the sequencing reaction step using DNA ligase	url:https://en.wikipedia.org/wiki/Sequencing_by_ligation	ABI Solid Sequencing uses the ligation-based DNA sequencing technology (https://en.wikipedia.org/wiki/ABI_Solid_Sequencing).	Philippe Rocca-Serra					subclass		DNA sequencing assay									DNA ligase					
OBI:0000724	Solexa sequencing assay		metadata complete	reversible terminator sequencing	A DNA sequencing by synthesis assay that identifies sequence information using DNA polymerase and reversible terminator, requiring immobilization of genomic DNA fragments onto a surface and a specific clonal amplification step known as bridge PCR. Reliance on a reversible terminator allows cycles of DNA chain extension by DNA polymerase and imaging without the need of electrophoretic separation of newly synthesized DNA fragment as with Sanger sequencing.	Solexa web site (SS_DNAsequencing.pdf document available on july 2009)	PMID: 18987734	Philippe Rocca-Serra					subclass		DNA sequencing by synthesis assay						Illumina Genome Analyzer II			('paired-end library' or 'single fragment library')					
OBI:0000730	pyrosequencing assay		metadata complete		A DNA sequencing by synthesis assay which sequences a single strand of DNA by synthesizing the complementary strand along it, one base pair at a time, and detecting which base was actually added at each step. The template DNA is immobilized, and solutions of A, C, G, and T nucleotides are added and removed after the reaction, sequentially. Light is produced only when the nucleotide solution complements the first unpaired base of the template. The sequence of solutions which produce chemiluminescent signals allows the determination of the sequence of the template. ssDNA template is hybridized to a sequencing primer and incubated with the enzymes DNA polymerase, ATP sulfurylase, luciferase and apyrase, and with the substrates adenosine 5-prime phosphosulfate (APS) and luciferin.	url:http://en.wikipedia.org/wiki/Pyrosequencing	Pyrosequencing sheds light on DNA sequencing. PMID:1115661	Philippe Rocca-Serra					subclass		DNA sequencing by synthesis assay						('454 Genome Sequence 20' or '454 Genome Sequencer FLX')								
OBI:0000734	DNA sequencing by synthesis assay		metadata incomplete		A DNA sequencing assay that relies on DNA polymerase activity to perform chain extension during the sequencing reaction step.	url:https://www.illumina.com/technology/next-generation-sequencing/sequencing-technology.html	Roche-454 pyrosequencing and Illumina (Solexa) sequencing use synthesis-based method for DNA sequencing	Philippe Rocca-Serra					subclass		DNA sequencing assay									DNA polymerase complex					
OBI:0000743	immune response assay		metadata incomplete		An assay that determines information about an immune response	IEDB	Measuring if a Hepacivirus C (HCV) infected patient has an antibody response to HCV core protein by ELISA.	Bjoern Peters|Randi Vita					subclass		assay										measurement datum	immune response			
OBI:0000748	bisulfite sequencing assay		metadata complete		A DNA methylation profiling assay which determines the methylation status of genomic DNA using DNA sequencing techniques preceded by a bisulfite based chemical modification of genomic DNA at CpG island location.	url:https://en.wikipedia.org/wiki/Bisulfite_sequencing	PMID: 19581485. High definition profiling of mammalian DNA methylation by array capture and single molecule bisulfite sequencing. Hodges E, Smith A, Kendall J, Xuan Z, Ravi K, Rooks M, Zhang M, Ye K, Battacharjee A, Brizuela L, McCombie WR, Wigler M, Hannon GJ, Hicks J.	Philippe Rocca-Serra|Sagar Jain					subclass	DNA meth profiling is a epigenetic mod assay, does not need inference	DNA methylation profiling assay		DNA sequencing assay	DNA extract			DNA sequencer			DNA extract	('measurement datum' and 'DNA sequence data')	regulation of DNA methylation		epigenetic modification identification objective	
OBI:0000787	human antithrombin-III in blood assay		ready for release	AT-III assay	An assay that measures the amount of antithrombin III in blood.	url:http://www.muschealth.com/lab/content.aspx?id=150006@2009/08/06	PMID:19696660#The antithrombin-III (AT-III) was determined using a Berichrom(r) Antithrombin-III (A) kit.	Alan Ruttenberg					subclass		analyte assay					('scattered molecular aggregate' and ('has grain' some antithrombin-III))					scalar measurement datum	blood coagulation			
OBI:0000802	prothrombin time assay		metadata complete		An assay that measures the prothrombin ratio, which is the prothrombin time for a patient, divided by the result for control plasma. Most commonly the test is preformed using blood plasma. Blood is drawn into a test tube containing liquid citrate, which acts as an anticoagulant. An excess of calcium is added to enable the blood to clot again.Tissue factor (also known as factor III or thromboplastin) is added, and the time the sample takes to clot is measured optically as the prothrombin time, which is compared to a control sample.	url:http://en.wikipedia.org/wiki/Prothrombin_time@2009/10/06	PMID:19696660#The prothrombin time (PT) was quantitatively determined using RecombiPlasTin (Instrumentation Laboratory Company, Lexington, Massachusetts, USA).	Alan Ruttenberg					subclass		assay										scalar measurement datum	blood coagulation			
OBI:0000805	antithrombin-III berichrome assay		metadata complete	AT-III assay	An antithrombin-III (AT-III) assay in which exogenous bovine thrombin and heparin are added to test plasma to form a thrombin-heparin-AT complex. The residual thrombin not bound then hydrolyzes the p-nitroalanine substrate to produce a yellow color, which is read at 405 nm. The intensity of color produced is inversely proportional to the AT present. A calibration is done with standard human plasma reagent and results for a given specimen are reported as a percentage relative to the standard	url:http://www.clinchem.org/cgi/content/full/43/9/1783@2009/08/06							subclass		human antithrombin-III in blood assay														(has_specified_output some 'scalar measurement datum') and ('has participant' some 'Berichrom(r) Antithrombin III (A) Kit') and (has_specified_output exactly 1 Thing)
OBI:0000808	spectrolyse heparin antifactor-Xa assay		metadata complete		An assay that quantitatively measures heparin in human plasma using Factor Xa and Antithrombin III in excess, where the rate of Factor Xa inhibition is directly proportional to the heparin concentration. The residual Factor Xa activity, measured with a Factor Xa-specific chromogenic substrate, is inversely proportional to the heparin concentration.	url:http://www.kordia.nl/en/product/hemostasis/specialty_kits__reagens/598/spectrolyse_heparin_anti_xa@2009/08/06	PMID:19696660#Antifactor-Xa (anti-Xa) was determined using spectrolyse heparin (Xa) (Trinity Biotech plc, Bray, County Wicklow, Ireland).	Alan Ruttenberg					subclass		assay										scalar measurement datum	blood coagulation			
OBI:0000812	measuring neural activity in the caudate nucleus assay		metadata complete		An assay that measures neural activity in the caudate nucleus	Jessica Turner, NIF|Dirk Derom, OBI	An SU micro-electrode was used to measure neural activity in the form of spike trains in the caudate nucleus of monkeys in response to a flashing light stimulus	Helen Parkinson					subclass		extracellular electrophysiology recording assay														
OBI:0000820	activated partial thromboplastin time assay		metadata complete	aPTT assay	An assay that evaluates blood coagulation by measuring the time required for the appearance of fibrin strands following the mixing blood or plasma with phospholipid platelet substitute (e.g., crude cephalins, soybean phosphatides). It is a test of the intrinsic pathway (factors VIII, IX, XI, and XII) and the common pathway (fibrinogen, prothrombin, factors V and X) of blood coaguation . It is used as a screening test and to monitor heparin therapy.	url:http://www.ebi.ac.uk/ols/ontologies/efo/terms?short_form=EFO_0004310	The activated partial thromboplastin time (aPTT) was determined using Dade Actin FSL activated PTT reagent (PMID:19696660)	Alan Ruttenberg|OBI call	There is also the 'partial thromboplastin assay', which some people use synonymously to aPPT, but historically was done slightly differently (without adding a coagulant).				subclass		assay			('blood specimen' or 'blood plasma specimen')							time measurement datum	blood coagulation			
OBI:0000823	thrombin time assay		metadata complete		An assay that measures the time between the addition of the thrombin and the clot formation in plasma.	url:http://en.wikipedia.org/wiki/Thrombin_time@2009/10/06	PMID:19696660#The thrombin time was determined using thromboclotin assay kit.	Alan Ruttenberg					subclass		assay										scalar measurement datum	blood coagulation			
OBI:0000854	western blot assay				An analyte assay that detects specific peptides in an input material by separating it using gel electrophoresis, transfering the separated molecules to a membrane, and staining them with_ antibodies specific to the analyte molecules.	Philippe Rocca-Serra|IEDB	Running a cell lysate on an acrylamide gel in a western blot aparatus to separate the constituent proteins, followed by transfer of the proteins from the gel to a nitrocellulose membrane. Staining this membrane with specific antibodies to detect the presence of specific proteins of interest.	Philippe Rocca-Serra|IEDB					subclass	logical definition does not capture details of processing	immunoblot assay					peptide									
OBI:0000860	northern blot assay		metadata incomplete	northern blot	An assay that determines the presence of gene transcripts by hybridizing labeled RNA or DNA probes against messenger RNAs isolated from tissue or cell cultures, resolved on denaturing gel, transfered by a blotting procedure to a solid support. Detection of hybridization signals is carried out by immunofluorescence or radioactivity measurements using photographic films or digital imaging devices such as Phosphor Imager.		The level of actin mRNA levels in normal and diseased tiisue was measured using a northern blot assay.	Philippe Rocca-Serra|Richard Scheuermann					subclass		analyte assay					ribonucleic acid					measurement datum				
OBI:0000865	96-well neutralization assay		metadata complete	microneutralization assay	A serum neutralization of viral infectivity assay which is performed in a 96-well plate.			Bjoern Peters|Melanie Courtot					subclass		serum neutralization of viral infectivity assay						multi-well plate								
OBI:0000870	single-nucleotide-resolution nucleic acid structure mapping assay		metadata complete		An assay that provides information about the secondary structure of nucleic acids using chemical or enzymatic probing to establish the extent of base-pairing or solvent accessiblity.	RNAO		Philippe Rocca-Serra					equivalent		assay											secondary structure of sequence macromolecule			
OBI:0000871	viral hemagglutination assay		metadata complete	viral haemagglutinin assay|HI|HA	An assay that quantifies viruses by their hemagglutination activity.	url:http://en.wikipedia.org/wiki/Hemagglutination_assay	Determining the viral titer of a virus infected human by measuring the presence of hemagglutination when dilutions of serum samples are added to a known quantity of red blood cells.	Bjoern Peters|Melanie Courtot|Randi Vita					subclass		analyte assay	induced hemagglutination									measurement datum				
OBI:0000872	serum neutralization of viral infectivity assay		metadata complete	influenza neutralization assay	An analyte assay that measures virus-neutralizing abilities of different sera. Different dilutions of serum are mixed with virus and used to infect cells. At the lower dilutions, antibodies will block infection, but at higher dilutions, there will be too few antibodies to have an effect.The neutralization titer is expressed as the reciprocal of the highest dilution at which virus infection is blocked.	url:http://www.virology.ws/2009/05/28/influenza-microneutralization-assay/		Bjoern Peters|Melanie Courtot					subclass		analyte assay			blood serum specimen				Viruses				immunoglobulin-mediated neutralization			
OBI:0000874	detection of specific nucleic acid polymers with complementary probes				An analyte assay in which a specified input material (the evaluant) is examined for the presence or quantity of specified nucleic acid polymers, which are identified based on the use of complementary nucleic acid probes.	IEDB	Primer based PCR assay, Norther blot, Southern Blot, and RNAse protection assays.	IEDB					equivalent		analyte assay					nucleic acid		('nucleic acid' and ('has role' some 'complementary nucleotide probe role'))							
OBI:0000875	viral hemagglutination inhibition assay			viral haemagglutinin inhibition assay|HIA|HAI|hemagglutination inhibition|biological activity	An assay that measures the ability of an evaluant to inhibit hemagglutination by a virus. Hemagglutinin is a viral protein which binds to sialic acid receptors on cells or to erythrocytes, causing the cells to clump. Loss of clumping indicates that the evaluant blocks binding of hemagglutinin to sialic acid receptors.	OBI branch derived	Examining the ability of a monoclonal antibody to inhibit hemagglutination by Influenza A virus by comparing the levels of hemagglutination with and without the presence of the antibody.	Bjoern Peters|Melanie Courtot|Randi Vita					subclass		assay	induced hemagglutination						Viruses							
