Ontology ID	label	definition	term editor	definition Source	alternative term	logical type	parent class	planned objective	Input	output	material processing	device	associated axioms
OBI:0001471	T cell epitope specific immune intervention	An epitope specific immune intervention in which the induced response targets a T cell epitope				subclass	epitope specific immune intervention						
OBI:0001487	B cell epitope specific immune intervention	An epitope specific immune intervention in which the induced response targets a B cell epitope				subclass	epitope specific immune intervention						
OBI:0000712	pathogen challenge	A pathogen challenge is the administration of a live pathogenic organism to a host				subclass	administering substance in vivo						(realizes some ('target of material addition role' and ('role of' some (organism and ('has role' some 'host role')))))|(realizes some 'host role')|(realizes some ('material to be added role' and ('role of' some (organism and ('has role' some 'pathogen role')))))
OBI:0000954	subcutaneous injection	Is the injection of a material entity (bearing the administered substance role) into the hypodermis (bearing the target role) of an organism using a syringe				equivalent	administering substance in vivo|injection	adding material objective					((realizes some 'material to be added role') and (realizes some (function and ('inheres in' some syringe))) and (realizes some ('target of material addition role' and ('role of' some hypodermis))))
OBI:0000995	administration of material to specimen	The directed combination of a material entity with a specimen.				subclass	adding a material entity into a target						(realizes some ('target of material addition role' and ('role of' some specimen)))
OBI:0000426	injection	Injection is process which aims at introducing a compound or a mixture into a material entity (either biological entity or instrument) by relying on devices such as syringe or injector connection, attached or forced into a vascular system (veins of an organism or tubes of a machine) or in a tissue.				equivalent	adding a material entity into a target	adding material objective					((realizes some 'material to be added role') and (realizes some (function and ('inheres in' some syringe))))
OBI:0000431	injection into organ section	A process in which an input substance is injected into a organ section.				equivalent	injection	adding material objective					((realizes some 'material to be added role') and (realizes some (function and ('inheres in' some syringe))) and (realizes some ('target of material addition role' and ('role of' some 'organ section'))))
OBI:0000685	creating a mixture of molecules in solution	Is a process with the objective to prepare a liquid solution of one or more chemicals at desired concentrations.				subclass	material combination	material transformation objective|material combination objective	material entity	chemical solution			
OBI:0600016	pooling specimens	Physical combination of several instances of like material			sample pooling	subclass	material combination	material combination objective	specimen	pool of specimens			
OBI:0000711	library preparation	Is a process which results in the creation of a library from fragments of DNA using cloning vectors or oligonucleotides with the role of adaptors.			library construction	subclass	material processing	material transformation objective	('deoxyribonucleic acid' or 'double-stranded DNA')	('clonal cDNA library' or 'paired-end library' or 'single fragment library' or 'phage display library')			
OBI:0001852	paired-end library preparation	A library preparation that results in the creation of a library of the 5' and 3' ends of DNA or cDNA fragments using adaptors and endonucleases. The preparation may or may not include cloning process.				equivalent	library preparation			paired-end library			
OBI:0002028	SAGE ditag library preparation	A library preparation in which tags identifiying transcripts are created, ligated to form ditags, amplified, concatemerized and ligated into a vector to create a library.				subclass	library preparation						
OBI:0000719	vaccine preparation	Vaccine preparation is a planned process with specified output a vaccine				subclass	material processing	material transformation objective					
OBI:0000800	cross linking	A process in which bonds are created that link one polymer to another				subclass	material processing	material transformation objective		molecular entity			
OBI:0000803	denaturing	Is a process in which the tertiary or secondary structure of a polymer is disrupted				subclass	material processing	material transformation objective	('nucleic acid' or protein)				
OBI:0000906	induced hemagglutination	The clumping or clustering of red blood cells caused by certain viruses, antibodies, or other substances			hemeagglutination	subclass	material processing		erythrocyte				
OBI:0000943	chemical cleavage	Chemical cleavage is a protocol application relying on a chemical compound to cause the fragmentation of an input material that is susceptible to that chemical agent				subclass	material processing	material transformation objective	specimen|('molecular entity' and ('has role' some 'reagent role'))				
OBI:0001147	cell culture expansion	A process that results in the increase of cell numbers				subclass	material processing	material transformation objective	cultured cell population	cultured cell population			
OBI:0001480	phage display library panning	Phage display library panning is a process in which a diverse collection of phages encoding peptides or proteins are screened and the ones encoding active peptides/proteins are selected in an iterative process similar to natural selection.				subclass	material processing		phage display library				
OBI:0001504	dissection	A planned process that separates and isolates tissues for surgical purposes, or for the analysis or study of their structures.				subclass	material processing	material transformation objective					
OBI:0002095	specimen family creation	A material processing that has as its input a specimen and as its output a collection of specimens.				subclass	material processing		specimen	specimens derived from shared ancestor			
OBI:0002747	passage process	A material processing that consists of first growing an organism in an environmental system and then removing the organism to be grown in another environmental system, a process which may be repeated with the objective of altering the organism or increasing its number.				subclass	material processing						
OBI:0302887	staining	Staining is a process which results in the addition a class-specific (DNA, proteins, lipids, carbohydrates) dye to a substrate to qualify or quantify the presence of a specific compound.				subclass	material processing	material transformation objective					
OBI:0002123	IHC slide staining	A staining using labeled antibodies, i.e. the analytical part of immunohistochemistry. The staining is applied to fixed specimens on slides to identify biomarkers in tissues.				subclass	staining		fixed tissue slide specimen				
OBI:0002124	H&E slide staining	A staining using hematoxylin and eosin. The staining is applied to fixed specimens on slides to observe the whole structure and morphology of cells in a tissue; nuclei are stained dark blue/purple while cytoplasm is stained pink.				subclass	staining		fixed tissue slide specimen				
OBI:0302888	washing	Washing is a process by which a material entity acting as contaminant (e.g. excess staining reagent) is removed by application of one or more cycles of solution in flow.				subclass	material processing	material transformation objective	material entity	material entity			
OBI:0302889	irradiation	Irradiation is a process by which a material entity is exposed to radiative energy, which could be ionizing radiation (such as gamma rays or X-rays) or not such as UV light or microwaves				subclass	material processing	material transformation objective	material entity				('has participant' some 'light source')
OBI:0302890	polymerization	Polymerization is process by which molecular entity of small mass are aggregated in motifs over the course of a chemical reaction catalyzed by enzymes or other molecular entities acting as catalyst. polymerization results in molecular entity of high molecular weight				subclass	material processing	material transformation objective	molecular entity	macromolecule			
OBI:0302892	enzymatic ligation	An enzymatic ligation is a planned process in which molecules are joined by covalent bonds through the action of an material entity with a ligase activity				subclass	material processing	material transformation objective					(realizes some (function and ('inheres in' some enzyme)))
OBI:0302902	immobilization	Immbolization is a process by which material entity become (possibly covalently but not necessarily) attached to the surface of another material entity used a substratum.				subclass	material processing	material transformation objective					
OBI:0302903	nucleic acid hybridization	A planned process by which totally or partially complementary, single-stranded nucleic acids are combined into a single molecule called heteroduplex or homoduplex to an extent depending on the amount of complementarity.				subclass	material processing						(realizes some (function and ('inheres in' some 'hybridization chamber')))
OBI:0302905	elution	The process of extracting one material from another by washing with a solvent to remove adsorbed material from an adsorbent (as in washing of loaded ion-exchange resins to remove captured ions)				subclass	material processing	material transformation objective	('molecular entity' and ('has role' some 'solvent role'))	eluate			('has participant' some 'chromatography column')
OBI:0600006	killing	A protocol application in which an organism is intentionally put to death			death status type|euthanisia|life termination|sacrifice	subclass	material processing		(organism and ('has quality' some alive))				
OBI:0000919	animal euthanization	A process in which is the end of life of animal is brought about in accordance with local regulations on treatment of animal subjects and using a method which causes minimal pain and distress to the animal subject			animal sacrifice	subclass	killing		Vertebrata <vertebrates>				
OBI:0302897	asphyxiation	Asphyxiation is a process by which oxygen supplies are restricted (by mechanical, e.g obstructing airways or chemical means, e.g. increasing CO2 partial pressure) resulting in termination of life in oxygen reliant organisms				subclass	animal euthanization						
OBI:0302896	cervical dislocation	Cervical dislocation is a process by which a Vertebrate organism has its life terminated by rupturing spinal cord between cervical vertebrae induced by excessive mechanical torsion				subclass	animal euthanization						
OBI:0302899	decapitation	Decapitation is a process by which the head of a living organism is physically removed from the body, usually resulting in rapid death (in the case of Rhodnius prolixus, it might take a bit longer..)				subclass	animal euthanization						
OBI:0302895	electrocution	Electrocution is process by which electric current is applied to a material with quality alive and result the termination of life process.				subclass	animal euthanization						('has participant' some 'power supply')
OBI:0302898	intentional overdosing	Intentional overdosing is a process by which an excess dose of a chemical compound is given with the intent of causing death			lethal injection	subclass	animal euthanization		molecular entity				
OBI:0302894	cell lysis	Cell lysis is a process by which cell membrane integrity of live cells is compromised and leads to cell death. Cell lysis may be achieved by means of viral action or osmotic shock.				subclass	killing						
OBI:0600014	material component separation	A material processing in which components of an input material become segregated in space				subclass	material processing		material entity	material entity			
OBI:0000512	isolation of cell population	A process in which a population of cells with certain characteristics is isolated from a larger population				subclass	material component separation	separation into different composition objective	cultured cell population	cultured cell population			
OBI:0000548	isolation of PBMCs	A process in which cells with a single nucleus are isolated from a blood sample				subclass	isolation of cell population	separation into different composition objective	blood	cultured cell population			
OBI:0000540	isolation of adherent cells	A material separation process in which cells that stick to the container in which they are grown as a cell culture are separated from those in the liquid component of the culture. The output of this process are adherent cells.				subclass	isolation of cell population		cultured cell population	cultured cell population			
OBI:0000690	immunoprecipitation	Is a process which realizes a material separation objective by relying on antibodies to specifically binding to material entity				subclass	material component separation	material separation objective	immunoglobulin complex, circulating				
OBI:00001975	chromatin immunoprecipitation	An immunoprecipitation in which chromatin (i.e. packaged DNA which can include protein and RNA complexes) is cut into short regions, reversibly cross linked, and antibodies or tags are used to select for pieces of chromatin with desired characteristics.			ChIP	subclass	immunoprecipitation						
OBI:0001483	cell collecting	A planned process that collects cells from culture.				subclass	material component separation	material separation objective	cultured cell population	('material entity' and ('has grain' some cell))			
OBI:0001505	purification	A planned process to separate a material entity into different compositions of which one or more have are purified fractions that contain higher concentration of a desired component, while others contain impurities and are not of interest				equivalent	material component separation	purification objective					
OBI:0002775	platelet-poor plasma preparation process	A material component separation process in which (1) whole blood is first centrifuged to separate red blood cells from blood plasma, which forms the supernatant, and (2) the blood plasma is then centrifuged to separate platelets from the plasm.				subclass	material component separation						
OBI:0302884	extraction	A material separation in which a desired component of an input material is separated from the remainder				subclass	material component separation	separation into different composition objective					
OBI:0666667	nucleic acid extraction	A material separation to recover the nucleic acid fraction of an input material				subclass	extraction		('sample from organism' or organism or 'cultured cell population')	nucleic acid			
OBI:0666666	RNA extraction	A RNA extraction is a nucleic acid extraction where the desired output material is RNA				subclass	nucleic acid extraction			ribonucleic acid			
OBI:0000407	viral RNA extraction	The extraction of RNA from an input material that specifically isolates viral RNA				subclass	RNA extraction		Viruses				
OBI:0002574	RNA extraction with polyA depletion	A RNA extraction process in which only RNAs lacking a polyA tail are retained				subclass	RNA extraction						
OBI:0000848	polyA RNA extraction	A RNA extraction process typically involving the use of poly dT oligomers in which the desired output material is polyA RNA.				subclass	RNA extraction						
OBI:0000849	organellar RNA extraction	A RNA extraction process in which the desired output material is RNA in the organelle(s).				subclass	RNA extraction						
OBI:0000855	total RNA extraction	A RNA extraction process in which total cellular and organelle RNA are extracted.				subclass	RNA extraction						
OBI:0000888	nuclear RNA extraction	A RNA extraction process in which the desired output material is RNA in the nucleus.				subclass	RNA extraction						
OBI:0000859	cytoplasmic RNA extraction	A RNA extraction process in which the desired output material is RNA in the cytoplasm.				subclass	RNA extraction						
OBI:0000257	DNA extraction	A DNA extraction is a nucleic acid extraction where the desired output material is DNA.				subclass	nucleic acid extraction			deoxyribonucleic acid			
OBI:0302885	filtration	Filtration is a process which separates components suspended in a fluid based on granularity properties relying on a filter device				subclass	material component separation	separation into different composition objective					('has participant' some 'filter paper')
OBI:0302886	centrifugation	Centrifugation is a process separating molecules by size or density using centrifugal forces generated by a spinning rotor. G-forces of several hundred thousand times gravity are generated in ultracentrifugation		s		subclass	material component separation	separation into different composition objective					('has participant' some centrifuge)
OBI:0302906	DNA Subtraction	A material separation process by which repetitive genomic DNA is removed during the construction of cDNA library.				subclass	material component separation	separation into different composition objective					
OBI:0600018	material portioning	A material processing in which the input substance is partitioned into a number of portions that are similar in composition.			aliquoting|apportioning	subclass	material component separation	portioning objective					
OBI:0600022	excision	The use physical means to remove a portion of a substance from the rest				subclass	material component separation	separation into different composition objective					
OBI:0600029	isolation of cell culture supernatant	A protocol which results in the separation of supernatant material from a cell culture				subclass	material component separation	separation into different composition objective					
OBI:0600034	precipitation	A protocol application to cause a material to precipitate (becoming a solid) out of solution. Input is a solution, output is a solution plus a solid component (the precipitate)				subclass	material component separation	separation into different composition objective					
OBI:0600037	cell culture splitting	The act of taking part of a homogeneous cell culture and creating one or more additional separate cultures of similar qualities. input: cell_culture, output cell_culture min cardinality 2. part of cell culturing			cell culture passaging	subclass	material component separation	portioning objective	cultured cell population	cultured cell population			
OBI:0600041	concentrate	A protocol application to create an output material with an increased density of a material of interest that is part of the input material by separating other parts of the input material				subclass	material component separation	separation into different composition objective					
OBI:0600044	lavage	A protocol application to separate cells and/or cellular secretions from an anatomical space by the introduction and removal of fluid				subclass	material component separation	material separation objective					collecting specimen from organism
OBI:0600046	preparative chromatography	The use of a biomaterial's preferential affinity for either the mobile phase or the stationary phase to separate it from other materials of differing affinity				subclass	material component separation	separation into different composition objective		eluate			('has participant' some 'chromatography device')|('has participant' some 'chromatography column')
OBI:0600051	gradient separation	A protocol application that uses different concentrations of materials in a defined order to create a gradient to facilitate the separation of an input material into its components with specific qualities				subclass	material component separation	separation into different composition objective					
OBI:0600052	dialysis	A protocol application that uses diffusion through a semi-permeable membrane to separate an input material into two fractions of different composition				subclass	material component separation	separation into different composition objective					
OBI:0600053	electrophoresis	A protocol application that uses an electrical potential to move material through a defined matrix in order to separate it by its resistance to movement and its charge				subclass	material component separation	separation into different composition objective	('polyacrylamide gel' or 'agarose gel')				('has participant' some 'gel tank')|('has participant' some 'power supply')
OBI:0002685	immunoelectrophoresis	An electrophoresis that separates and characterize proteins based on reaction with antibodies.			IEP	subclass	electrophoresis						
OBI:0002686	counter current immunoelectrophoresis	An electrophoresis in which antigen and antibody move in opposite directions and form precipitates in the area between the cells where they meet in concentrations of optimal proportions.				subclass	electrophoresis						
OBI:1110046	organ harvesting	The process of removing an organ from its source organism				subclass	material component separation						
OBI:1110095	blood harvesting	A material separation where blood is taken from an organism.				subclass	material component separation			blood specimen			
OBI:0003231	leukapheresis	A blood harvesting process in which white blood cells are separated from a blood specimen.				subclass	blood harvesting		blood specimen				
OBI:0600021	cell fixation	A protocol application to preserve defined qualities of cells or tissues (sample) which may otherwise change over time				subclass	material processing	material transformation objective	(cell and ('located in' some specimen))|('molecular entity' or 'chemical solution')				
OBI:0600027	artificially induced cell membrane lysis	A material transformation to break the membranes of cells, releasing the cells contents; input=>cells; output=>cell_lysate				subclass	material processing	material transformation objective					
OBI:0600028	artificially induced reverse transcription	A protocol with the objective to transcribe single-stranded RNA into complementary DNA (cDNA)				subclass	material processing	material transformation objective	reverse transcriptase|ribonucleic acid	deoxyribonucleic acid			
OBI:0600030	experimental disease induction	A protocol application to induce a specific disease in an organism				subclass	material processing	material transformation objective					
OBI:0600032	artificially induced DNA repair	A protocol application to repair damaged DNA molecules				subclass	material processing	material transformation objective					
OBI:0600033	cell permeabilization	A protocol application to permeabilize cell membranes, allowing molecules to more easily pass through the membrane than was possible prior to the protocol application				subclass	material processing	material transformation objective	cell	cell			
OBI:0302912	electroporation	A process in which a significant increase in the electrical conductivity and permeability of the cell plasma membrane caused by an externally applied electrical field. It is usually used in molecular biology as a way of introducing some substance into a cell, such as loading it with a molecular probe, a drug that can change the cell's function, or a piece of coding DNA			electropermeabilization	subclass	cell permeabilization		cell				('has participant' some 'power supply')
OBI:0600036	establishing cell culture	A process through which a new type of cell culture or cell line is created, either through the isolation and culture of one or more cells from a fresh source, or the deliberate experimental modification of an existing cell culture (e.g passaging a primary culture to become a secondary culture or line, or the immortalization or stable genetic modification of an existing culture or line).				subclass	material processing	material transformation objective	cell|culture medium	cultured cell population			
OBI:0001867	establishing cell line	A process whereby a new type of cell line is created, either through passaging of a primary cell culture to relative genetic stability and compositional homogeneity, or through some experimental modification of an existing cell line to produce a new line with novel characteristics (e.g. immortalization or some other stable genetic modification, or selection of some defined subset).				subclass	establishing cell culture			cell line			
OBI:0000867	establishing cancer cell line	Is a planned process in which the objective is to generate a cell line from a natural population of cancer cells which are already immortal				subclass	establishing cell line			cancer cell line			
OBI:0000877	cell line immortalization	An establishing cell line process whereby a mortal cell line is intentionally genetically modified to be capable of indefinite propagation and re-established as a new immortal cell line			establishing immortal cell line through directed genetic modification'	subclass	establishing cell line			immortal cell line	immortalizing cell line transformation		
OBI:0001878	establishing primary cell culture	An establishing cell culture process whereby cells explanted directly from an organismal source or specimen, and placed in culture for maintenance or propagation as a primary cell culture				subclass	establishing cell culture			primary cultured cell population			
OBI:0600038	addition of molecular label	A material processing technique intended to add a molecular label to some input material entity, to allow detection of the molecular target of this label in a detection of molecular label assay			labeling	subclass	material processing	material transformation objective	target of material addition|molecular label	molecular-labeled material			
OBI:0000879	random primed DNA labeling	A labeling in which random primers are used to uniformly label input DNA				subclass	addition of molecular label						
OBI:0600019	non-specific labeling	The addition of a reagent labeling the entire input biomaterial enabling future detection of the output biomaterial				subclass	addition of molecular label						
OBI:0600067	specific labeling	A labeling in which the labeling reagent used has a specificity to bind only certain components of the input material				subclass	addition of molecular label						
OBI:0600039	artificially induced methylation	A planned process of adding methyl groups to polymers				subclass	material processing	material transformation objective					
OBI:0600040	synthesis	The construction of a biomaterial from simpler biomaterials			synthesize	subclass	material processing	material transformation objective	molecular entity	molecular entity			
OBI:0600043	genetic transformation	The introduction. alteration or integration of genetic material into a cell or organism			genetic modification	subclass	material processing	genetic transformation objective		genetically modified material			
OBI:0001907	immortalizing cell line transformation	A genetic transformation of a cell line cell with transgenic constructs intended to confer the capability for indefinite propagation in culture				subclass	genetic transformation		cell line cell				
OBI:0001148	gene knock out	A genetic transformation that renders a gene non-functional, e.g. due to a point mutation, or the removal of all, or part of, the gene using recombinant methods.				subclass	genetic transformation						
OBI:0001149	gene knock in	A genetic transformation that renders a gene non-functional, e.g. due to a point mutation, or the removal of all, or part of, the gene using recombinant methods.				subclass	genetic transformation						
OBI:0001150	chromosomal substitution	A genetic transformation in which all, or part, of a chromosome from a donor replaces that of the recipient. It does not include chromosome recombination. For single gene insertion, use the term 'gene knock in'.				subclass	genetic transformation						
OBI:0001152	transfection	A genetic transformation which relies on the use of physical, electrical and chemical phenomena to introduce DNA or RNA into a cell				subclass	genetic transformation		(('deoxyribonucleic acid' or 'ribonucleic acid') and ('bearer of' some 'target of material addition role'))		cell permeabilization		
OBI:0600060	DNA transfection	A transfection which relies on the use of physical, electrical and chemical phenomena to introduce DNA into a cell				subclass	transfection		('deoxyribonucleic acid' and ('bearer of' some 'target of material addition role'))				
OBI:0001154	induced mutagenesis	A genetic transformation that is the modification of the genetic material (either coding or non-coding) of an organism caused by mutagenic processes, compounds, or irradiation.				subclass	genetic transformation						
OBI:0002619	site-directed mutagenesis	An induced mutation in which a specific base change is programmed into the sequence of a synthetic primer.				subclass	induced mutagenesis						
OBI:0002620	random mutagenesis	An induced mutation that produces a random mutation, either by introducing the organism to mutagens, or through a process such as error-prone PCR.				subclass	induced mutagenesis						
OBI:0003129	chemical mutagenesis	A form of random mutagenesis that produces a mutation by introducing the organism to a chemical mutagen.				subclass	random mutagenesis						
OBI:0003130	irradiation mutagenesis	A form of random mutagenesis that produces a random mutation by exposing the organism to radiation.			radiation induced mutagenesis	subclass	random mutagenesis						
OBI:0003136	transgenic mutagenesis	A form of random mutagenesis that produces a mutation by introducing a construct into the genome of an organism in a random or semi-random fashion.				subclass	random mutagenesis						
OBI:0003137	gene-trap mutagenesis	A transgenic mutagenesis that produces a mutation by introducing a construct designed to capture the expression of an endogenous gene by creating a spliced fusion transcript when inserted into the genome of an organism.				subclass	transgenic mutagenesis						
OBI:0003138	enhancer-trap mutagenesis	A transgenic mutagenesis that produces a mutation by introducing a construct designed to monitor transcriptionally active regions when inserted into the genome of an organism by inserting a reporter gene that requires cis-acting DNA sequences in the genome to activate reporter gene expression.				subclass	transgenic mutagenesis						
OBI:0003140	transposon-induced mutagenesis	A random mutagenesis in which expression of a transposase causes the mobilization of an artificial or modified transposable element with the insertion of the element into the genome creating a mutation.				subclass	random mutagenesis						
OBI:0003131	directed mutagenesis	An induced mutation in which a specific gene(s) or part of a gene(s) is altered.				subclass	induced mutagenesis						
